championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
CBLOL/2015_Season/Split_1;Lissandra;50;86.2%;30;20;11;12;8;60%;3.35;3.4;7.25;3.12;252.3;7.03;-;-;-;-;64.4%;20.4%;-;['Top Laner', 'Mid Laner']
CBLOL/2015_Season/Split_1;Janna;47;81%;16;31;7;13;18;41.9%;0.29;2.19;8.26;3.9;16.19;0.43;-;-;-;-;76.4%;2.6%;-;['Support']
CBLOL/2015_Season/Split_1;Jarvan IV;46;79.3%;12;34;11;13;21;38.2%;1.88;3.5;8.62;3;105.97;2.97;-;-;-;-;80.6%;14.4%;-;['Jungler', 'Mid Laner', 'Top Laner']
CBLOL/2015_Season/Split_1;Rek'Sai;45;77.6%;23;22;7;15;7;68.2%;3;2.41;7.36;4.3;117.82;3.43;-;-;-;-;64.2%;18.6%;-;['Jungler']
CBLOL/2015_Season/Split_1;Kassadin;42;72.4%;28;14;8;9;5;64.3%;4.07;1.43;5.21;6.5;217.07;6.41;-;-;-;-;59.4%;26%;-;['Mid Laner', 'Top Laner']
CBLOL/2015_Season/Split_1;Gnar;40;69%;30;10;5;7;3;70%;2.7;3.4;7.8;3.09;250.7;6.64;-;-;-;-;59.3%;15.3%;-;['Top Laner']
CBLOL/2015_Season/Split_1;Graves;38;65.5%;-;38;10;20;18;52.6%;4.26;2.21;5.37;4.36;300.66;8.35;-;-;-;-;65.4%;28.9%;-;['Bot Laner']
CBLOL/2015_Season/Split_1;Annie;35;60.3%;20;15;6;9;6;60%;1.2;3;10;3.73;16.6;0.5;-;-;-;-;60.6%;6.5%;-;['Support']
CBLOL/2015_Season/Split_1;Rumble;32;55.2%;5;27;7;16;11;59.3%;3.81;3;4.85;2.89;215.85;6;-;-;-;-;60.5%;26.6%;-;['Top Laner']
CBLOL/2015_Season/Split_1;Azir;30;51.7%;22;8;4;7;1;87.5%;4.25;1.63;5.63;6.08;308.13;7.7;-;-;-;-;73.1%;31.5%;-;['Mid Laner']
CBLOL/2015_Season/Split_1;Lee Sin;29;50%;9;20;9;11;9;55%;2.75;3.55;7.6;2.92;94.8;2.6;-;-;-;-;67.6%;18%;-;['Jungler']
CBLOL/2015_Season/Split_1;LeBlanc;27;46.6%;11;16;8;7;9;43.8%;5.44;2.56;5.56;4.29;223.31;6.28;-;-;-;-;66.7%;33%;-;['Mid Laner', 'Top Laner']
CBLOL/2015_Season/Split_1;Sivir;25;43.1%;6;19;7;11;8;57.9%;3.32;2.68;6.74;3.75;319.47;8.38;-;-;-;-;68%;22.4%;-;['Bot Laner']
CBLOL/2015_Season/Split_1;Morgana;25;43.1%;9;16;9;9;7;56.3%;2.13;2.44;7.19;3.82;157.13;4.42;-;-;-;-;68%;15.5%;-;['Mid Laner', 'Support', 'Top Laner']
CBLOL/2015_Season/Split_1;Zed;25;43.1%;16;9;6;5;4;55.6%;4.56;2;2.67;3.61;292.22;8.45;-;-;-;-;54.6%;34.5%;-;['Mid Laner']
CBLOL/2015_Season/Split_1;Lulu;24;41.4%;2;22;12;8;14;36.4%;1.41;2.86;6.64;2.81;127.45;3.61;-;-;-;-;77%;13.5%;-;['Support', 'Top Laner', 'Mid Laner']
CBLOL/2015_Season/Split_1;Ahri;22;37.9%;8;14;6;9;5;64.3%;3.79;1.43;6.5;7.2;273.29;7.59;-;-;-;-;70.2%;25.9%;-;['Mid Laner']
CBLOL/2015_Season/Split_1;Nidalee;22;37.9%;13;9;6;3;6;33.3%;2.67;3.44;3.89;1.9;122.44;3.31;-;-;-;-;72%;29.3%;-;['Jungler']
CBLOL/2015_Season/Split_1;Vi;21;36.2%;8;13;8;10;3;76.9%;2.46;2.77;8.54;3.97;109.15;2.84;-;-;-;-;61.4%;13.7%;-;['Jungler']
CBLOL/2015_Season/Split_1;Corki;19;32.8%;-;19;8;12;7;63.2%;4.53;1.95;4.63;4.7;289.95;7.74;-;-;-;-;63.5%;31.4%;-;['Bot Laner', 'Mid Laner']
CBLOL/2015_Season/Split_1;Leona;19;32.8%;2;17;7;11;6;64.7%;1.12;3.29;9.71;3.29;48.53;1.36;-;-;-;-;62.4%;6.4%;-;['Support']
CBLOL/2015_Season/Split_1;Kalista;19;32.8%;8;11;7;5;6;45.5%;4.18;2.73;5.55;3.57;287.09;7.63;-;-;-;-;61.1%;26.3%;-;['Bot Laner']
CBLOL/2015_Season/Split_1;Jax;18;31%;10;8;4;4;4;50%;5.13;1.88;3.25;4.47;299;8.45;-;-;-;-;62.6%;38.3%;-;['Top Laner']
CBLOL/2015_Season/Split_1;Maokai;17;29.3%;5;12;5;7;5;58.3%;2.17;2.75;7.17;3.39;223.67;6.19;-;-;-;-;67.5%;15.7%;-;['Top Laner']
CBLOL/2015_Season/Split_1;Cassiopeia;16;27.6%;9;7;5;2;5;28.6%;2.29;3.71;3.14;1.46;221.14;6.5;-;-;-;-;52.8%;22.2%;-;['Top Laner', 'Mid Laner']
CBLOL/2015_Season/Split_1;Irelia;15;25.9%;4;11;7;6;5;54.5%;4;3.09;5.09;2.94;241.09;6.82;-;-;-;-;59.9%;26.3%;-;['Top Laner']
CBLOL/2015_Season/Split_1;Nami;12;20.7%;-;12;7;5;7;41.7%;0.42;2.92;8;2.89;13.42;0.34;-;-;-;-;76.5%;3.8%;-;['Support']
CBLOL/2015_Season/Split_1;Katarina;12;20.7%;8;4;2;2;2;50%;3.5;2;8;5.75;246.5;6.38;-;-;-;-;69.7%;21.2%;-;['Mid Laner']
CBLOL/2015_Season/Split_1;Thresh;11;19%;-;11;5;5;6;45.5%;0.45;3.55;8.82;2.62;40.55;1.06;-;-;-;-;63.7%;3.1%;-;['Support']
CBLOL/2015_Season/Split_1;Xerath;11;19%;3;8;5;0;8;0%;2.5;2.75;3.63;2.23;310.38;7.44;-;-;-;-;66.2%;27%;-;['Mid Laner']
CBLOL/2015_Season/Split_1;Pantheon;10;17.2%;2;8;7;3;5;37.5%;2.88;4;6.63;2.38;92.13;2.44;-;-;-;-;65.5%;19.8%;-;['Jungler']
CBLOL/2015_Season/Split_1;Riven;10;17.2%;8;2;1;0;2;0%;1;2.5;0.5;0.6;294.5;9.1;-;-;-;-;37.5%;25%;-;['Top Laner']
CBLOL/2015_Season/Split_1;Ezreal;8;13.8%;-;8;5;3;5;37.5%;3.25;2.13;4.75;3.76;268.25;7.36;-;-;-;-;71.1%;28.9%;-;['Mid Laner', 'Bot Laner']
CBLOL/2015_Season/Split_1;Nunu;8;13.8%;2;6;4;4;2;66.7%;0.33;2.67;9.33;3.63;68.33;1.85;-;-;-;-;82.9%;2.9%;-;['Jungler', 'Support']
CBLOL/2015_Season/Split_1;Sion;8;13.8%;4;4;3;2;2;50%;2.25;3.75;8.25;2.8;208.5;6.38;-;-;-;-;72.4%;15.5%;-;['Top Laner', 'Mid Laner']
CBLOL/2015_Season/Split_1;Rengar;8;13.8%;4;4;3;1;3;25%;2;3;3;1.67;88.25;2.46;-;-;-;-;57.1%;22.9%;-;['Jungler']
CBLOL/2015_Season/Split_1;Orianna;7;12.1%;-;7;4;3;4;42.9%;3.43;2.14;4.14;3.53;308.43;7.86;-;-;-;-;65.4%;29.6%;-;['Mid Laner']
CBLOL/2015_Season/Split_1;Vayne;7;12.1%;-;7;5;2;5;28.6%;2.43;2.86;3.43;2.05;212.57;6.77;-;-;-;-;56.2%;23.3%;-;['Bot Laner']
CBLOL/2015_Season/Split_1;Lucian;6;10.3%;-;6;4;2;4;33.3%;2.5;3;4.33;2.28;307.67;8;-;-;-;-;68.3%;25%;-;['Bot Laner']
CBLOL/2015_Season/Split_1;Soraka;6;10.3%;2;4;1;1;3;25%;0;3;7;2.33;13.25;0.34;-;-;-;-;63.6%;0%;-;['Support']
CBLOL/2015_Season/Split_1;Veigar;6;10.3%;4;2;2;1;1;50%;1;2;8;4.5;193.5;5.17;-;-;-;-;72%;8%;-;['Mid Laner', 'Support']
CBLOL/2015_Season/Split_1;Jayce;5;8.6%;-;5;4;2;3;40%;3.2;1.8;4.6;4.33;293.8;7.41;-;-;-;-;63.9%;26.2%;-;['Mid Laner', 'Top Laner']
CBLOL/2015_Season/Split_1;Renekton;5;8.6%;-;5;2;2;3;40%;2.8;3.4;6.2;2.65;261;7.21;-;-;-;-;57.7%;17.9%;-;['Top Laner']
CBLOL/2015_Season/Split_1;Braum;4;6.9%;-;4;3;2;2;50%;0.5;3;7;2.5;43.25;1.14;-;-;-;-;81.1%;5.4%;-;['Support']
CBLOL/2015_Season/Split_1;Tristana;4;6.9%;-;4;3;1;3;25%;5.25;1.5;3.75;6;249;7.28;-;-;-;-;85.7%;50%;-;['Bot Laner']
CBLOL/2015_Season/Split_1;Fizz;4;6.9%;1;3;3;1;2;33.3%;2.67;3.67;2.33;1.36;236.33;6.76;-;-;-;-;48.4%;25.8%;-;['Top Laner', 'Mid Laner']
CBLOL/2015_Season/Split_1;Draven;3;5.2%;-;3;3;2;1;66.7%;5.67;2;8.33;7;268;8;-;-;-;-;67.7%;27.4%;-;['Bot Laner']
CBLOL/2015_Season/Split_1;Syndra;3;5.2%;1;2;2;2;0;100%;5;4;10.5;3.88;305;7.33;-;-;-;-;70.5%;22.7%;-;['Mid Laner']
CBLOL/2015_Season/Split_1;Dr. Mundo;3;5.2%;1;2;2;0;2;0%;0;4.5;4;0.89;249.5;6.63;-;-;-;-;53.3%;0%;-;['Top Laner']
CBLOL/2015_Season/Split_1;Kog'Maw;2;3.4%;-;2;2;2;0;100%;6;2.5;6;4.8;357.5;8.2;-;-;-;-;80%;40%;-;['Bot Laner']
CBLOL/2015_Season/Split_1;Jinx;2;3.4%;-;2;2;0;2;0%;2;5;2.5;0.9;315.5;8.68;-;-;-;-;81.8%;36.4%;-;['Bot Laner']
CBLOL/2015_Season/Split_1;Sejuani;2;3.4%;-;2;1;0;2;0%;0;3.5;4.5;1.29;115.5;3.39;-;-;-;-;69.2%;0%;-;['Jungler']
CBLOL/2015_Season/Split_1;Karthus;1;1.7%;-;1;1;1;0;100%;3;0;6;9;302;8.49;-;-;-;-;45%;15%;-;['Mid Laner']
CBLOL/2015_Season/Split_1;Aatrox;1;1.7%;-;1;1;0;1;0%;1;5;2;0.6;72;2.15;-;-;-;-;100%;33.3%;-;['Jungler']
