championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
LCK/2016_Season/Spring_Season;Alistar;194;90.2%;38;156;12;75;81;48.1%;0.32;2.24;7.43;3.46;38.26;1.02;-;-;-;-;73.1%;3%;-;['Support']
LCK/2016_Season/Spring_Season;Kalista;192;89.3%;103;89;10;48;41;53.9%;3.49;1.78;4.22;4.35;325.04;8.9;-;-;-;-;69.4%;31.4%;-;['Bot Laner']
LCK/2016_Season/Spring_Season;Corki;189;87.9%;95;94;23;52;42;55.3%;3.02;1.93;4.05;3.67;346.71;9.08;-;-;-;-;72.4%;30.9%;-;['Bot Laner', 'Mid Laner']
LCK/2016_Season/Spring_Season;Poppy;159;74%;58;101;15;54;47;53.5%;1.79;2.29;5.58;3.23;269.44;7.12;-;-;-;-;66.9%;16.2%;-;['Top Laner', 'Support']
LCK/2016_Season/Spring_Season;Nidalee;158;73.5%;98;60;10;32;28;53.3%;3.02;2.03;5.02;3.95;186.17;5.14;13.8;381;-;-;77.1%;29%;20.9%;['Jungler']
LCK/2016_Season/Spring_Season;Gangplank;154;71.6%;101;53;19;25;28;47.2%;2.4;2.25;4.79;3.2;321.08;8.42;16.1;423;-;-;70.3%;23.4%;23.6%;['Top Laner', 'Mid Laner']
LCK/2016_Season/Spring_Season;Lulu;147;68.4%;75;72;22;36;36;50%;2.11;1.63;5.53;4.7;308.5;8.28;14.7;396;-;-;76.5%;21.1%;22%;['Mid Laner', 'Top Laner']
LCK/2016_Season/Spring_Season;Lissandra;138;64.2%;68;70;21;34;36;48.6%;2.3;2.64;6.16;3.2;326.94;8.38;14.9;382;-;-;70.4%;19.1%;21.3%;['Mid Laner', 'Top Laner', 'Support']
LCK/2016_Season/Spring_Season;Elise;127;59.1%;10;117;12;59;58;50.4%;2.04;2.45;5.68;3.15;149.65;3.91;-;-;-;-;72.6%;19.2%;-;['Jungler']
LCK/2016_Season/Spring_Season;Ryze;127;59.1%;111;16;10;10;6;62.5%;2.88;1.81;3.94;3.76;299.06;8;14.3;383;-;-;79%;33.3%;21.5%;['Top Laner', 'Mid Laner']
LCK/2016_Season/Spring_Season;Lucian;124;57.7%;1;123;12;57;66;46.3%;2.91;1.54;3.92;4.42;357.3;9.44;-;-;-;-;68.2%;29.1%;-;['Bot Laner']
LCK/2016_Season/Spring_Season;Trundle;113;52.6%;24;89;17;53;36;59.6%;0.87;1.67;7.35;4.91;83.28;2.15;10.8;278;-;-;72.5%;7.6%;15.3%;['Support', 'Top Laner']
LCK/2016_Season/Spring_Season;Graves;112;52.1%;29;83;14;48;35;57.8%;2.92;1.83;4.94;4.29;207.88;5.54;14.2;380;-;-;71.4%;26.5%;20.9%;['Jungler', 'Top Laner']
LCK/2016_Season/Spring_Season;Kindred;91;42.3%;27;64;11;24;40;37.5%;2.23;2.98;5.13;2.47;155.2;4.25;12.4;340;-;-;71.5%;21.7%;19.5%;['Jungler', 'Mid Laner']
LCK/2016_Season/Spring_Season;Braum;86;40%;3;83;11;37;46;44.6%;0.48;2.17;6.42;3.18;41.31;1.14;9.1;250;-;-;73.3%;5.1%;14.3%;['Support']
LCK/2016_Season/Spring_Season;Fiora;86;40%;47;39;11;19;20;48.7%;2.56;2.41;3.18;2.38;315.21;8.42;14.7;392;-;-;56.6%;25.3%;21.8%;['Top Laner']
LCK/2016_Season/Spring_Season;Twisted Fate;83;38.6%;56;27;10;18;9;66.7%;2.41;2.37;5.67;3.41;327.85;8.72;16.5;440;-;-;68.6%;20.4%;23.2%;['Mid Laner']
LCK/2016_Season/Spring_Season;Sivir;69;32.1%;19;50;9;32;18;64%;3.36;1.48;6.14;6.42;345.48;9.57;15.5;429;-;-;78.6%;27.8%;23.5%;['Bot Laner']
LCK/2016_Season/Spring_Season;Varus;69;32.1%;41;28;10;16;12;57.1%;2.68;1.82;4.71;4.06;302.79;8.25;13.7;374;-;-;73.4%;26.6%;21.3%;['Mid Laner', 'Bot Laner']
LCK/2016_Season/Spring_Season;Viktor;68;31.6%;15;53;11;22;31;41.5%;2.91;2.06;4.32;3.51;357.34;9.3;15.5;403;-;-;73.1%;29.4%;23.1%;['Mid Laner']
LCK/2016_Season/Spring_Season;Azir;67;31.2%;31;36;10;17;19;47.2%;2.44;2.5;4.22;2.67;324.22;8.68;14.4;384;-;-;76.9%;28.2%;22.2%;['Mid Laner']
LCK/2016_Season/Spring_Season;Nautilus;61;28.4%;3;58;19;22;36;37.9%;1.07;3.07;5.12;2.02;212.22;5.76;-;-;-;-;66.1%;11.4%;-;['Top Laner', 'Support', 'Mid Laner']
LCK/2016_Season/Spring_Season;Bard;59;27.4%;24;35;10;16;19;45.7%;0.8;1.77;5.91;3.79;24.6;0.65;-;-;-;-;76.8%;9.2%;-;['Support']
LCK/2016_Season/Spring_Season;Rek'Sai;56;26%;7;49;11;25;24;51%;1;1.92;6.47;3.89;160.59;4.14;-;-;-;-;74.8%;10%;-;['Jungler']
LCK/2016_Season/Spring_Season;Ezreal;51;23.7%;1;50;14;19;31;38%;2.64;1.28;4.08;5.25;341.44;8.67;15.2;387;-;-;70.3%;27.6%;22.3%;['Bot Laner', 'Mid Laner']
LCK/2016_Season/Spring_Season;Maokai;50;23.3%;1;49;10;26;23;53.1%;1.51;2.45;6.47;3.26;268.78;7.13;13.3;354;-;-;73.9%;14%;19.8%;['Top Laner']
LCK/2016_Season/Spring_Season;Gragas;50;23.3%;6;44;11;23;21;52.3%;1.77;1.93;6.11;4.08;172.57;4.67;12.6;341;-;-;74.1%;16.7%;19.2%;['Jungler', 'Top Laner']
LCK/2016_Season/Spring_Season;Thresh;50;23.3%;7;43;9;22;21;51.2%;0.47;2.3;7.16;3.31;41.47;1.07;9.5;247;-;-;73.7%;4.5%;14%;['Support']
LCK/2016_Season/Spring_Season;LeBlanc;49;22.8%;12;37;10;18;19;48.6%;3.73;1.86;4;4.14;295.49;8.03;-;-;-;-;68.1%;32.9%;-;['Mid Laner']
LCK/2016_Season/Spring_Season;Lee Sin;47;21.9%;32;15;7;12;3;80%;2.47;1.73;5.33;4.5;161.53;3.95;14;342;-;-;69.6%;22%;18.9%;['Jungler']
