championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
NA_LCS/2015_Season/Spring_Season;Lissandra;79;85.9%;53;26;13;19;7;73.1%;2.92;2.92;7.54;3.58;293.15;7.8;13.9;371;-;-;66.3%;18.5%;21.3%;['Mid Laner', 'Top Laner']
NA_LCS/2015_Season/Spring_Season;Rek'Sai;72;78.3%;25;47;13;17;30;36.2%;2.06;2.96;5.83;2.67;138.81;3.59;11.9;307;-;-;71.1%;18.6%;19.5%;['Jungler', 'Top Laner']
NA_LCS/2015_Season/Spring_Season;Maokai;66;71.7%;30;36;10;21;15;58.3%;1.92;2.69;7.17;3.37;222.28;6.16;11.7;323;-;-;69.7%;14.7%;19.3%;['Top Laner']
NA_LCS/2015_Season/Spring_Season;Morgana;66;71.7%;31;35;12;23;12;65.7%;1;1.89;8.97;5.29;50.09;1.31;9.6;251;-;-;73.2%;7.3%;15.2%;['Support', 'Top Laner', 'Mid Laner']
NA_LCS/2015_Season/Spring_Season;Rumble;65;70.7%;43;22;11;15;7;68.2%;3.27;2.82;7.09;3.68;237.32;5.88;13.2;327;-;-;65.3%;20.6%;19.4%;['Top Laner', 'Mid Laner']
NA_LCS/2015_Season/Spring_Season;Jarvan IV;60;65.2%;19;41;12;19;22;46.3%;1.29;3.15;8.9;3.24;121.93;3.16;11.1;287;-;-;83.3%;10.6%;18.1%;['Jungler', 'Top Laner', 'Mid Laner']
NA_LCS/2015_Season/Spring_Season;Janna;59;64.1%;10;49;12;17;32;34.7%;0.31;2.24;9.06;4.17;16.27;0.43;8.3;218;-;-;80.1%;2.6%;13.9%;['Support']
NA_LCS/2015_Season/Spring_Season;Sivir;52;56.5%;16;36;10;20;16;55.6%;4.31;2.03;6.17;5.16;327.86;8.76;15.2;405;-;-;74.5%;30.6%;24.6%;['Bot Laner']
NA_LCS/2015_Season/Spring_Season;Annie;52;56.5%;27;25;9;15;10;60%;1.52;3.36;8.08;2.86;22.92;0.58;9.2;234;-;-;66.7%;10.6%;14.3%;['Support']
NA_LCS/2015_Season/Spring_Season;Nidalee;49;53.3%;37;12;7;10;2;83.3%;4.25;1.5;6.25;7;164.42;4.58;13.1;366;-;-;69.2%;28%;20.8%;['Jungler', 'Mid Laner']
NA_LCS/2015_Season/Spring_Season;Kassadin;48;52.2%;32;16;9;9;7;56.3%;4.19;1.69;6.06;6.07;239.13;6.58;12.5;345;-;-;71.6%;29.3%;21.4%;['Mid Laner', 'Top Laner']
NA_LCS/2015_Season/Spring_Season;Zed;45;48.9%;22;23;8;17;6;73.9%;4.52;2.43;4.7;3.79;315.26;8.14;15;388;-;-;62.7%;30.8%;22.7%;['Mid Laner']
NA_LCS/2015_Season/Spring_Season;LeBlanc;44;47.8%;22;22;10;8;14;36.4%;3.05;2.59;3.27;2.44;288.91;7.63;13.1;345;-;-;62.6%;30.2%;22.3%;['Mid Laner']
NA_LCS/2015_Season/Spring_Season;Corki;43;46.7%;4;39;16;17;22;43.6%;3.77;2.21;4.95;3.95;325;8.32;14.8;379;-;-;70.8%;30.6%;23.7%;['Bot Laner', 'Mid Laner']
NA_LCS/2015_Season/Spring_Season;Graves;42;45.7%;-;42;9;24;18;57.1%;4.98;1.52;4.83;6.44;329.64;8.65;15.2;400;-;-;69.9%;35.5%;24.2%;['Bot Laner']
NA_LCS/2015_Season/Spring_Season;Ahri;42;45.7%;17;25;9;12;13;48%;4.16;2.44;5.4;3.92;312.6;7.97;14.4;367;-;-;73.8%;32.1%;23%;['Mid Laner']
NA_LCS/2015_Season/Spring_Season;Irelia;39;42.4%;23;16;9;8;8;50%;2.88;3;5.75;2.88;260.13;6.91;12.9;343;-;-;65.7%;21.9%;21.3%;['Top Laner']
NA_LCS/2015_Season/Spring_Season;Kalista;37;40.2%;21;16;7;9;7;56.3%;3.56;1.56;4;4.84;314.56;9.02;13.8;397;-;-;70.3%;33.1%;24.4%;['Bot Laner']
NA_LCS/2015_Season/Spring_Season;Vi;36;39.1%;4;32;10;23;9;71.9%;2.63;2.44;7.09;3.99;128.47;3.48;12;325;-;-;64.9%;17.5%;19%;['Jungler']
NA_LCS/2015_Season/Spring_Season;Thresh;34;37%;3;31;10;16;15;51.6%;0.48;3.03;8.81;3.06;35.03;0.92;8.4;220;-;-;73.1%;3.8%;13.6%;['Support']
NA_LCS/2015_Season/Spring_Season;Lulu;33;35.9%;9;24;15;12;12;50%;1.83;2.75;7.21;3.29;229.17;6.11;12;319;-;-;72.8%;14.8%;20.1%;['Top Laner', 'Mid Laner', 'Support']
NA_LCS/2015_Season/Spring_Season;Gnar;30;32.6%;9;21;12;5;16;23.8%;1.57;2.86;4.62;2.17;235.62;6.34;11.4;308;-;-;68.8%;17.5%;20.7%;['Top Laner']
NA_LCS/2015_Season/Spring_Season;Lee Sin;26;28.3%;8;18;9;9;9;50%;1.72;3.17;7.39;2.88;112.94;2.95;11;288;-;-;69.5%;13.1%;17.9%;['Jungler']
NA_LCS/2015_Season/Spring_Season;Sejuani;22;23.9%;12;10;7;8;2;80%;1.2;1.8;11.2;6.89;151.3;3.68;12.9;314;-;-;76.1%;7.4%;18.6%;['Jungler']
NA_LCS/2015_Season/Spring_Season;Sion;21;22.8%;5;16;8;8;8;50%;1.94;2.88;6;2.76;254.19;6.61;12.3;319;-;-;62.9%;15.3%;20.2%;['Top Laner']
NA_LCS/2015_Season/Spring_Season;Hecarim;21;22.8%;12;9;7;4;5;44.4%;2.67;2.67;5;2.88;243.33;6.91;12.1;342;-;-;69%;24%;21.1%;['Top Laner']
NA_LCS/2015_Season/Spring_Season;Kennen;19;20.7%;7;12;9;5;7;41.7%;2.92;3.5;4.25;2.05;267.92;6.78;13.1;332;-;-;63.7%;25.9%;20.4%;['Top Laner', 'Mid Laner']
NA_LCS/2015_Season/Spring_Season;Leona;16;17.4%;1;15;8;6;9;40%;1;3.6;8.67;2.69;45.93;1.2;8.9;234;-;-;74%;7.7%;14.4%;['Support']
NA_LCS/2015_Season/Spring_Season;Xerath;15;16.3%;4;11;6;4;7;36.4%;2.18;1.64;4.36;4;321.18;8.25;13.6;349;-;-;62.1%;20.7%;22.4%;['Mid Laner']
NA_LCS/2015_Season/Spring_Season;Rengar;14;15.2%;6;8;6;1;7;12.5%;1;3;4.88;1.96;106.63;3.06;9.4;271;-;-;59.5%;10.1%;17.8%;['Jungler']
NA_LCS/2015_Season/Spring_Season;Lucian;13;14.1%;-;13;7;5;8;38.5%;4.69;2.31;4.31;3.9;353.92;9.21;15.6;405;-;-;71.3%;37.2%;25.5%;['Bot Laner']
NA_LCS/2015_Season/Spring_Season;Nunu;13;14.1%;3;10;4;5;5;50%;1.4;2.4;10.5;4.96;122.8;3.1;11.6;293;-;-;79.3%;9.3%;18.4%;['Jungler']
NA_LCS/2015_Season/Spring_Season;Azir;13;14.1%;5;8;3;3;5;37.5%;2.88;4.13;4.13;1.7;311.88;7.6;14.1;344;-;-;74.7%;30.7%;22.8%;['Mid Laner']
NA_LCS/2015_Season/Spring_Season;Jinx;12;13%;-;12;5;8;4;66.7%;5.67;2.25;5;4.74;333.17;8.69;16.1;421;-;-;73.6%;39.1%;24.6%;['Bot Laner']
NA_LCS/2015_Season/Spring_Season;Ezreal;11;12%;-;11;7;3;8;27.3%;3.45;2.64;4.45;3;335.09;8.4;14.7;369;-;-;74.4%;32.5%;23.9%;['Mid Laner', 'Bot Laner']
NA_LCS/2015_Season/Spring_Season;Tristana;10;10.9%;1;9;5;3;6;33.3%;4.33;2.56;3.33;3;359.56;9.06;15.8;397;-;-;69%;39%;25.3%;['Bot Laner']
NA_LCS/2015_Season/Spring_Season;Braum;9;9.8%;-;9;4;4;5;44.4%;0.33;2.67;8.44;3.29;48.33;1.3;8.7;235;-;-;83.2%;3.2%;14.4%;['Support']
NA_LCS/2015_Season/Spring_Season;Orianna;9;9.8%;2;7;2;2;5;28.6%;3.29;4.57;5.14;1.84;307.71;8.14;13.8;365;-;-;65.6%;25.6%;23.2%;['Mid Laner']
NA_LCS/2015_Season/Spring_Season;Fizz;9;9.8%;4;5;5;3;2;60%;4.6;2.4;4.2;3.67;283.6;6.86;14.6;353;-;-;63.8%;33.3%;21.3%;['Mid Laner', 'Top Laner']
NA_LCS/2015_Season/Spring_Season;Cassiopeia;9;9.8%;4;5;5;1;4;20%;2.4;2.2;4;2.91;315.4;8.14;13.5;348;-;-;71.1%;26.7%;23.2%;['Mid Laner']
NA_LCS/2015_Season/Spring_Season;Gragas;8;8.7%;1;7;2;2;5;28.6%;3;2.86;3.14;2.15;182.57;5.03;11;303;-;-;60.6%;29.6%;19.7%;['Top Laner', 'Jungler']
NA_LCS/2015_Season/Spring_Season;Renekton;7;7.6%;-;7;3;4;3;57.1%;2.14;3;8.14;3.43;273.71;7.02;13.5;346;-;-;58.5%;12.2%;20.6%;['Top Laner']
NA_LCS/2015_Season/Spring_Season;Nami;7;7.6%;1;6;5;4;2;66.7%;0.5;2.67;9;3.56;12;0.3;9.2;230;-;-;78.1%;4.1%;14.3%;['Support']
NA_LCS/2015_Season/Spring_Season;Karthus;7;7.6%;4;3;2;2;1;66.7%;4.67;2.67;7.67;4.63;391.33;10.45;16.2;432;-;-;69.8%;26.4%;24.3%;['Mid Laner']
NA_LCS/2015_Season/Spring_Season;Veigar;7;7.6%;5;2;2;2;0;100%;1;1;7.5;8.5;13.5;0.39;8.9;259;-;-;58.6%;6.9%;14.1%;['Support']
NA_LCS/2015_Season/Spring_Season;Nautilus;6;6.5%;-;6;3;4;2;66.7%;1;2.83;11.17;4.29;39.83;1.02;9.1;232;-;-;76%;6.3%;13.7%;['Support']
NA_LCS/2015_Season/Spring_Season;Caitlyn;6;6.5%;-;6;6;3;3;50%;3.17;1.83;7.5;5.82;332.33;8.43;15.2;386;-;-;73.6%;21.8%;24%;['Bot Laner']
NA_LCS/2015_Season/Spring_Season;Kog'Maw;6;6.5%;-;6;6;3;3;50%;4.5;2.67;5.33;3.69;292.17;7.58;14;362;-;-;81.9%;37.5%;23.6%;['Bot Laner']
NA_LCS/2015_Season/Spring_Season;Urgot;6;6.5%;3;3;3;2;1;66.7%;3.33;3.67;5;2.27;269.33;7.63;12.7;360;-;-;71.4%;28.6%;21.6%;['Mid Laner']
NA_LCS/2015_Season/Spring_Season;Zac;5;5.4%;-;5;2;2;3;40%;1.8;2.6;5;2.62;98.2;2.75;9.7;272;-;-;70.8%;18.8%;17.6%;['Jungler']
NA_LCS/2015_Season/Spring_Season;Vladimir;5;5.4%;2;3;3;2;1;66.7%;3;3.33;6.33;2.8;342;8.83;14.8;383;-;-;54.9%;17.6%;22.8%;['Mid Laner', 'Top Laner']
NA_LCS/2015_Season/Spring_Season;Vayne;4;4.3%;-;4;2;2;2;50%;3.5;1.25;5;6.8;293.5;7.96;13.9;378;-;-;75.6%;31.1%;23.4%;['Bot Laner']
