championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
EU_LCS/2015_Season/Spring_Season;Rek'Sai;72;79.1%;33;39;10;16;23;41%;2.28;3.26;7.18;2.91;134.97;3.4;12.2;307;-;-;67.2%;16.2%;19%;['Jungler']
EU_LCS/2015_Season/Spring_Season;Zed;66;72.5%;49;17;8;12;5;70.6%;4.35;2.29;4.71;3.95;341.18;8.15;16.1;386;-;-;57%;27.4%;22.7%;['Mid Laner']
EU_LCS/2015_Season/Spring_Season;Ahri;62;68.1%;19;43;10;22;21;51.2%;3.88;2.51;5.98;3.93;322.77;8;14.8;368;-;-;70.2%;27.6%;22.9%;['Mid Laner']
EU_LCS/2015_Season/Spring_Season;LeBlanc;58;63.7%;28;30;10;13;17;43.3%;4.63;2.33;3.97;3.69;268.43;7.16;13.2;352;-;-;64.3%;34.7%;21.9%;['Mid Laner']
EU_LCS/2015_Season/Spring_Season;Graves;57;62.6%;9;48;10;24;24;50%;4.31;1.81;5.58;5.46;339.06;8.71;15.5;398;-;-;66.1%;28.8%;24.5%;['Bot Laner']
EU_LCS/2015_Season/Spring_Season;Jarvan IV;56;61.5%;14;42;10;20;22;47.6%;1.95;3.86;8.31;2.66;112.14;2.91;11;285;-;-;78.5%;14.9%;18.1%;['Jungler', 'Top Laner']
EU_LCS/2015_Season/Spring_Season;Gnar;56;61.5%;20;36;12;22;14;61.1%;1.81;2.78;7.22;3.25;247.5;6.24;12.9;325;-;-;60.7%;12.1%;19.7%;['Top Laner']
EU_LCS/2015_Season/Spring_Season;Kassadin;56;61.5%;39;17;10;12;5;70.6%;5.29;2.24;7;5.5;264.88;6.69;14.3;361;-;-;68.8%;29.6%;21.4%;['Mid Laner', 'Top Laner']
EU_LCS/2015_Season/Spring_Season;Annie;55;60.4%;15;40;11;19;21;47.5%;1.23;4;7.88;2.28;23.1;0.61;8.8;230;-;-;61.8%;8.3%;14.1%;['Support']
EU_LCS/2015_Season/Spring_Season;Lissandra;51;56%;27;24;12;11;13;45.8%;2.38;3.58;7.33;2.71;255.75;6.93;12.5;339;-;-;63.5%;15.5%;20.7%;['Top Laner', 'Mid Laner']
EU_LCS/2015_Season/Spring_Season;Nidalee;49;53.8%;30;19;8;14;5;73.7%;3.47;2.21;6.37;4.45;144.47;3.62;13.3;332;-;-;71.4%;25.2%;19.8%;['Jungler']
EU_LCS/2015_Season/Spring_Season;Maokai;44;48.4%;11;33;11;18;15;54.5%;1.97;3.55;8.18;2.86;231.94;6.03;12.1;315;-;-;69.5%;13.5%;19.4%;['Top Laner']
EU_LCS/2015_Season/Spring_Season;Thresh;44;48.4%;11;33;8;15;18;45.5%;0.73;3.3;8.94;2.93;37.76;0.97;8.5;218;-;-;68%;5.1%;13.7%;['Support']
EU_LCS/2015_Season/Spring_Season;Cassiopeia;44;48.4%;34;10;6;7;3;70%;5.8;3.2;4.6;3.25;297.4;7.88;14.5;385;-;-;61.5%;34.3%;23.1%;['Mid Laner', 'Top Laner']
EU_LCS/2015_Season/Spring_Season;Lulu;42;46.2%;10;32;16;15;17;46.9%;1.34;2.72;8.06;3.46;137.69;3.47;10.8;272;-;-;72%;10.3%;16.9%;['Support', 'Mid Laner', 'Top Laner']
EU_LCS/2015_Season/Spring_Season;Sivir;40;44%;12;28;8;16;12;57.1%;3.54;1.57;6.14;6.16;306.68;8.6;14.1;396;-;-;75.1%;27.4%;24.1%;['Bot Laner']
EU_LCS/2015_Season/Spring_Season;Corki;38;41.8%;2;36;10;13;23;36.1%;4.31;2.11;5.72;4.75;346.58;8.48;15.9;388;-;-;68.2%;29.3%;24.2%;['Bot Laner']
EU_LCS/2015_Season/Spring_Season;Morgana;37;40.7%;9;28;11;16;12;57.1%;1.18;2.54;7.39;3.38;113.14;2.91;10.6;272;-;-;68.4%;9.4%;16.7%;['Support', 'Top Laner', 'Mid Laner']
EU_LCS/2015_Season/Spring_Season;Lee Sin;34;37.4%;10;24;9;9;15;37.5%;2.71;2.79;7.54;3.67;111.63;2.73;11.4;280;-;-;71.5%;18.9%;17.9%;['Jungler']
EU_LCS/2015_Season/Spring_Season;Irelia;33;36.3%;18;15;8;4;11;26.7%;3.27;3.53;4.2;2.11;275.4;6.84;13.3;330;-;-;61.5%;26.9%;21.4%;['Top Laner']
EU_LCS/2015_Season/Spring_Season;Leona;31;34.1%;5;26;10;13;13;50%;0.77;4.31;8.69;2.2;48.69;1.18;9.1;222;-;-;65.4%;5.3%;13.9%;['Support']
EU_LCS/2015_Season/Spring_Season;Janna;29;31.9%;5;24;10;11;13;45.8%;0.38;1.71;9.17;5.59;19.04;0.49;8.8;227;-;-;74.1%;2.9%;14.2%;['Support']
EU_LCS/2015_Season/Spring_Season;Kalista;28;30.8%;14;14;6;11;3;78.6%;5.14;2.07;6.93;5.83;384;8.59;17.9;401;-;-;71.9%;30.6%;24.3%;['Bot Laner']
EU_LCS/2015_Season/Spring_Season;Rengar;25;27.5%;10;15;6;9;6;60%;3.07;3.47;7.8;3.13;108.47;2.9;11.6;310;-;-;68.8%;19.4%;18.5%;['Jungler']
EU_LCS/2015_Season/Spring_Season;Azir;25;27.5%;20;5;4;3;2;60%;2.8;1.6;3.6;4;312.6;7.55;14.7;355;-;-;53.3%;23.3%;22%;['Top Laner', 'Mid Laner']
EU_LCS/2015_Season/Spring_Season;Sejuani;22;24.2%;12;10;7;6;4;60%;2.3;2.7;9.4;4.33;134.2;3.42;12.2;311;-;-;68.4%;13.5%;18.5%;['Jungler']
EU_LCS/2015_Season/Spring_Season;Rumble;20;22%;7;13;4;5;8;38.5%;3.62;3.85;6.85;2.72;206.08;4.99;12.6;304;-;-;70.1%;24.2%;19.1%;['Top Laner']
EU_LCS/2015_Season/Spring_Season;Jax;19;20.9%;15;4;2;2;2;50%;5.25;3;4;3.08;302.25;8.36;14.3;396;-;-;61.7%;35%;23.9%;['Top Laner']
EU_LCS/2015_Season/Spring_Season;Xerath;18;19.8%;6;12;6;5;7;41.7%;3.08;2.42;4.58;3.17;336.67;8.31;14.6;361;-;-;64.3%;25.9%;23.3%;['Mid Laner']
EU_LCS/2015_Season/Spring_Season;Hecarim;18;19.8%;11;7;5;5;2;71.4%;3.86;3.14;6.57;3.32;247.57;6.7;13.3;359;-;-;71.6%;26.5%;21.3%;['Top Laner', 'Jungler']
EU_LCS/2015_Season/Spring_Season;Kennen;16;17.6%;1;15;6;6;9;40%;3.27;4.47;6;2.07;282.93;6.58;14;326;-;-;62.6%;22.1%;20.5%;['Top Laner']
EU_LCS/2015_Season/Spring_Season;Kog'Maw;15;16.5%;8;7;4;4;3;57.1%;4.29;3;4.43;2.9;334.43;7.81;15.7;366;-;-;63.5%;31.3%;23.1%;['Bot Laner', 'Mid Laner']
EU_LCS/2015_Season/Spring_Season;Jinx;14;15.4%;-;14;7;6;8;42.9%;5.07;2.29;4.86;4.34;350.79;9.1;15.7;407;-;-;73.9%;37.8%;26%;['Bot Laner']
EU_LCS/2015_Season/Spring_Season;Lucian;14;15.4%;2;12;6;6;6;50%;3.67;1.75;4.92;4.9;327.42;9.16;14.9;415;-;-;67.8%;28.9%;25.3%;['Bot Laner']
EU_LCS/2015_Season/Spring_Season;Ezreal;12;13.2%;-;12;8;4;8;33.3%;2.42;1.42;4;4.53;320.58;8.64;13.5;364;-;-;64.7%;24.4%;23.8%;['Mid Laner', 'Bot Laner']
EU_LCS/2015_Season/Spring_Season;Caitlyn;11;12.1%;1;10;6;5;5;50%;4.2;2.3;3.9;3.52;346.2;8.73;15.6;394;-;-;62.3%;32.3%;24.7%;['Bot Laner']
EU_LCS/2015_Season/Spring_Season;Nami;10;11%;-;10;6;8;2;80%;1;2.5;13.7;5.88;17.9;0.43;10;239;-;-;81.2%;5.5%;14.1%;['Support']
