championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
LLA/2019_Season/Opening_Season;Lucian;79;94%;49;30;8;19;11;63.3%;3.17;1.77;4.83;4.53;332;9.42;15.2;432;-;-;71%;28.1%;23.8%;['Bot Laner']
LLA/2019_Season/Opening_Season;Jayce;72;85.7%;53;19;11;11;8;57.9%;2.26;2.16;4.26;3.02;267.16;8.31;12.7;396;-;-;63.3%;21.9%;21.9%;['Top Laner', 'Mid Laner', 'Jungler']
LLA/2019_Season/Opening_Season;Cassiopeia;70;83.3%;61;9;5;6;3;66.7%;3.11;1.78;3.56;3.75;297;8.55;13.8;398;-;-;56.6%;26.4%;21.9%;['Mid Laner', 'Top Laner', 'Bot Laner']
LLA/2019_Season/Opening_Season;Lissandra;64;76.2%;34;30;11;15;15;50%;1.67;2.17;5.53;3.32;287.23;8.6;12.7;379;-;-;66.5%;15.4%;21.3%;['Mid Laner', 'Top Laner']
LLA/2019_Season/Opening_Season;Braum;60;71.4%;14;46;10;26;20;56.5%;0.54;2.04;6.98;3.68;75.5;2.17;9.9;284;-;-;72.5%;5.2%;15.8%;['Support']
LLA/2019_Season/Opening_Season;Ezreal;59;70.2%;20;39;9;17;22;43.6%;2.79;1.54;3.87;4.33;316.97;9.26;14.5;423;-;-;68.4%;28.7%;23.9%;['Bot Laner']
LLA/2019_Season/Opening_Season;Zoe;55;65.5%;32;23;9;11;12;47.8%;2.35;1.87;3.57;3.16;266.7;7.82;12.5;367;-;-;65.1%;25.8%;20.9%;['Mid Laner', 'Bot Laner']
LLA/2019_Season/Opening_Season;Urgot;48;57.1%;18;30;12;13;17;43.3%;2.8;2.1;2.77;2.65;271.93;7.86;12.8;369;-;-;60.3%;30.3%;21.1%;['Top Laner', 'Mid Laner']
LLA/2019_Season/Opening_Season;Vladimir;48;57.1%;30;18;9;11;7;61.1%;3.28;1.89;3.5;3.59;305.56;8.82;14.2;409;-;-;59.8%;28.9%;22.7%;['Top Laner', 'Mid Laner']
LLA/2019_Season/Opening_Season;Lee Sin;46;54.8%;21;25;8;13;12;52%;2.08;2.64;5.32;2.8;175.72;5.01;11.3;321;-;-;74.9%;21.1%;18.1%;['Jungler']
