championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
LPL/2015_Season/Spring_Season;Rek'Sai;226;85.6%;149;77;16;48;29;62.3%;3.18;2.91;9.1;4.22;136.94;3.78;-;-;-;-;-;-;-;['Jungler', 'Top Laner']
LPL/2015_Season/Spring_Season;Janna;223;84.5%;96;127;14;70;57;55.1%;0.46;2.5;11.54;4.8;17.41;0.47;-;-;-;-;-;-;-;['Support']
LPL/2015_Season/Spring_Season;Thresh;180;68.2%;55;125;14;70;55;56%;1.12;3.59;10.5;3.23;30.74;0.86;-;-;-;-;-;-;-;['Support']
LPL/2015_Season/Spring_Season;Gnar;175;66.3%;83;92;16;51;41;55.4%;2.87;2.62;7.97;4.14;247.59;6.73;-;-;-;-;-;-;-;['Top Laner']
LPL/2015_Season/Spring_Season;Lissandra;175;66.3%;132;43;19;17;26;39.5%;3.84;3.74;6.42;2.74;292.77;7.83;-;-;-;-;-;-;-;['Mid Laner', 'Top Laner']
LPL/2015_Season/Spring_Season;Jarvan IV;166;62.9%;39;127;22;58;69;45.7%;2.15;3.57;10.18;3.45;118.45;3.27;-;-;-;-;-;-;-;['Jungler', 'Top Laner']
LPL/2015_Season/Spring_Season;LeBlanc;166;62.9%;106;60;18;24;36;40%;5.63;3.23;4.8;3.23;255.6;7.04;-;-;-;-;-;-;-;['Mid Laner', 'Support']
LPL/2015_Season/Spring_Season;Kassadin;154;58.3%;101;53;18;30;23;56.6%;5.51;2.7;7.06;4.66;252.04;6.95;-;-;-;-;-;-;-;['Mid Laner', 'Top Laner']
LPL/2015_Season/Spring_Season;Maokai;145;54.9%;30;115;17;56;59;48.7%;2.31;3.39;9.8;3.57;230.22;6.15;-;-;-;-;-;-;-;['Top Laner', 'Support']
LPL/2015_Season/Spring_Season;Azir;143;54.2%;82;61;11;25;36;41%;3.36;3.43;5.84;2.68;294.03;7.93;-;-;-;-;-;-;-;['Mid Laner']
LPL/2015_Season/Spring_Season;Lee Sin;130;49.2%;20;110;16;46;64;41.8%;2.69;3.49;8;3.06;106.45;2.86;-;-;-;-;-;-;-;['Jungler']
LPL/2015_Season/Spring_Season;Rumble;125;47.3%;55;70;14;40;30;57.1%;3.26;3.44;6.99;2.98;220.43;5.99;-;-;-;-;-;-;-;['Top Laner']
LPL/2015_Season/Spring_Season;Corki;122;46.2%;18;104;18;49;55;47.1%;4.69;2.67;5.82;3.93;304.71;8.27;-;-;-;-;-;-;-;['Bot Laner', 'Mid Laner']
LPL/2015_Season/Spring_Season;Kalista;113;42.8%;35;78;16;40;38;51.3%;5.53;3.32;5.99;3.47;296.59;8.24;-;-;-;-;-;-;-;['Bot Laner']
LPL/2015_Season/Spring_Season;Xerath;113;42.8%;50;63;13;36;27;57.1%;4.17;2.68;6.54;3.99;308.24;8.04;-;-;-;-;-;-;-;['Mid Laner']
LPL/2015_Season/Spring_Season;Sivir;98;37.1%;17;81;12;40;41;49.4%;4.91;3.22;7.47;3.84;326.15;8.64;-;-;-;-;-;-;-;['Bot Laner']
LPL/2015_Season/Spring_Season;Nidalee;94;35.6%;58;36;11;20;16;55.6%;4.03;2.94;6.28;3.5;134.53;3.94;-;-;-;-;-;-;-;['Jungler', 'Mid Laner']
LPL/2015_Season/Spring_Season;Ahri;93;35.2%;48;45;10;29;16;64.4%;6.4;2.56;7.42;5.41;303.2;8.08;-;-;-;-;-;-;-;['Mid Laner']
LPL/2015_Season/Spring_Season;Annie;88;33.3%;30;58;15;31;27;53.4%;1.45;4.24;8.98;2.46;29.31;0.82;-;-;-;-;-;-;-;['Support', 'Top Laner', 'Mid Laner']
LPL/2015_Season/Spring_Season;Lulu;83;31.4%;39;44;19;21;23;47.7%;2.52;3.02;8.05;3.5;223.68;6.18;-;-;-;-;-;-;-;['Mid Laner', 'Top Laner', 'Support']
LPL/2015_Season/Spring_Season;Hecarim;82;31.1%;23;59;17;25;34;42.4%;3.59;3.58;6.25;2.75;226.95;6.74;-;-;-;-;-;-;-;['Top Laner', 'Jungler']
LPL/2015_Season/Spring_Season;Rengar;80;30.3%;28;52;14;22;30;42.3%;2.4;4.08;8.92;2.78;108.83;2.89;-;-;-;-;-;-;-;['Jungler', 'Top Laner']
LPL/2015_Season/Spring_Season;Irelia;79;29.9%;19;60;15;28;32;46.7%;3.73;3.08;6.52;3.32;243.92;6.66;-;-;-;-;-;-;-;['Top Laner', 'Support', 'Mid Laner']
LPL/2015_Season/Spring_Season;Morgana;69;26.1%;2;67;20;34;33;50.7%;1.27;3.67;11.24;3.41;61.81;1.59;-;-;-;-;-;-;-;['Support', 'Top Laner', 'Mid Laner']
LPL/2015_Season/Spring_Season;Nunu;63;23.9%;15;48;13;33;15;68.8%;1.58;2.21;10.42;5.43;89.69;2.59;-;-;-;-;-;-;-;['Jungler', 'Support']
LPL/2015_Season/Spring_Season;Graves;57;21.6%;-;57;15;28;29;49.1%;4.65;2.89;6.35;3.8;294.7;8.32;-;-;-;-;-;-;-;['Bot Laner']
LPL/2015_Season/Spring_Season;Nami;47;17.8%;-;47;12;19;28;40.4%;0.57;3.09;10.04;3.44;15.64;0.43;-;-;-;-;-;-;-;['Support']
LPL/2015_Season/Spring_Season;Veigar;45;17%;37;8;6;5;3;62.5%;2.25;2.88;10.38;4.39;75.88;2.15;-;-;-;-;-;-;-;['Support', 'Mid Laner']
LPL/2015_Season/Spring_Season;Leona;44;16.7%;1;43;11;21;22;48.8%;1.21;3.95;10.16;2.88;38.16;1.08;-;-;-;-;-;-;-;['Support']
LPL/2015_Season/Spring_Season;Tristana;43;16.3%;6;37;12;17;20;45.9%;5.81;3;4.43;3.41;307.32;8.49;-;-;-;-;-;-;-;['Bot Laner']
LPL/2015_Season/Spring_Season;Sejuani;43;16.3%;24;19;11;10;9;52.6%;3.53;2.47;9.58;5.3;116.63;3.41;-;-;-;-;-;-;-;['Jungler']
LPL/2015_Season/Spring_Season;Viktor;41;15.5%;15;26;10;15;11;57.7%;4.38;3.46;6.5;3.14;282.12;8.01;-;-;-;-;-;-;-;['Mid Laner']
LPL/2015_Season/Spring_Season;Ezreal;38;14.4%;1;37;17;15;22;40.5%;4.95;2.81;5.51;3.72;310.11;8.15;-;-;-;-;-;-;-;['Bot Laner', 'Mid Laner']
LPL/2015_Season/Spring_Season;Lucian;37;14%;-;37;14;24;13;64.9%;5.19;2.97;6.86;4.05;292.65;8.57;-;-;-;-;-;-;-;['Bot Laner', 'Mid Laner']
LPL/2015_Season/Spring_Season;Vi;37;14%;7;30;8;12;18;40%;2.3;3.73;7.5;2.63;127.43;3.31;-;-;-;-;-;-;-;['Jungler']
LPL/2015_Season/Spring_Season;Cho'Gath;36;13.6%;22;14;7;8;6;57.1%;3.5;2.86;7.71;3.93;268.64;7.54;-;-;-;-;-;-;-;['Mid Laner']
LPL/2015_Season/Spring_Season;Fizz;32;12.1%;9;23;12;16;7;69.6%;5.61;3.26;5.39;3.37;264.35;7.1;-;-;-;-;-;-;-;['Mid Laner', 'Jungler', 'Top Laner']
LPL/2015_Season/Spring_Season;Zed;32;12.1%;13;19;7;8;11;42.1%;4.68;4.84;4.79;1.96;250.47;7.09;-;-;-;-;-;-;-;['Mid Laner']
LPL/2015_Season/Spring_Season;Urgot;32;12.1%;21;11;7;5;6;45.5%;5.91;4;8;3.48;237;6.94;-;-;-;-;-;-;-;['Bot Laner']
LPL/2015_Season/Spring_Season;Kog'Maw;31;11.7%;6;25;10;12;13;48%;6.96;4.08;5.8;3.13;303.64;8.04;-;-;-;-;-;-;-;['Bot Laner', 'Mid Laner']
LPL/2015_Season/Spring_Season;Jinx;28;10.6%;1;27;10;15;12;55.6%;5.04;3.07;5.48;3.42;283.26;8.26;-;-;-;-;-;-;-;['Bot Laner']
LPL/2015_Season/Spring_Season;Sion;27;10.2%;8;19;7;10;9;52.6%;2.37;2.95;7.32;3.29;239.05;6.82;-;-;-;-;-;-;-;['Top Laner']
LPL/2015_Season/Spring_Season;Nautilus;26;9.8%;11;15;10;7;8;46.7%;1.27;3.8;11.47;3.35;39.07;1.1;-;-;-;-;-;-;-;['Support']
LPL/2015_Season/Spring_Season;Syndra;20;7.6%;5;15;8;5;10;33.3%;4.2;3.2;5.33;2.98;275.27;7.51;-;-;-;-;-;-;-;['Mid Laner']
LPL/2015_Season/Spring_Season;Vladimir;20;7.6%;6;14;8;6;8;42.9%;3.86;3;5.36;3.07;270.21;8;-;-;-;-;-;-;-;['Mid Laner', 'Top Laner']
LPL/2015_Season/Spring_Season;Draven;20;7.6%;9;11;4;6;5;54.5%;5.09;2.91;5.18;3.53;295.18;8.62;-;-;-;-;-;-;-;['Bot Laner']
LPL/2015_Season/Spring_Season;Kennen;19;7.2%;3;16;10;5;11;31.3%;2.13;4.69;8.19;2.2;166.69;4.34;-;-;-;-;-;-;-;['Top Laner', 'Support']
LPL/2015_Season/Spring_Season;Twisted Fate;19;7.2%;5;14;5;9;5;64.3%;2.93;2.57;7.57;4.08;266.07;8.3;-;-;-;-;-;-;-;['Mid Laner']
LPL/2015_Season/Spring_Season;Vayne;18;6.8%;-;18;7;9;9;50%;5.17;3.83;5.72;2.84;285.72;7.58;-;-;-;-;-;-;-;['Bot Laner']
LPL/2015_Season/Spring_Season;Braum;18;6.8%;-;18;9;1;17;5.6%;0.33;4.17;7.06;1.77;42.78;1.15;-;-;-;-;-;-;-;['Support']
LPL/2015_Season/Spring_Season;Diana;16;6.1%;8;8;6;2;6;25%;4.5;4;3.88;2.09;278.88;8.11;-;-;-;-;-;-;-;['Mid Laner', 'Top Laner']
LPL/2015_Season/Spring_Season;Gragas;15;5.7%;1;14;7;9;5;64.3%;2.14;2.64;10.07;4.62;110.21;3.03;-;-;-;-;-;-;-;['Jungler']
LPL/2015_Season/Spring_Season;Caitlyn;15;5.7%;3;12;7;6;6;50%;4.08;3.17;5.92;3.16;311.25;8.61;-;-;-;-;-;-;-;['Bot Laner']
LPL/2015_Season/Spring_Season;Twitch;12;4.5%;-;12;9;4;8;33.3%;6.17;4.17;6.08;2.94;285.92;6.87;-;-;-;-;-;-;-;['Bot Laner']
LPL/2015_Season/Spring_Season;Ryze;11;4.2%;7;4;4;1;3;25%;3.5;3.75;2.75;1.67;196.25;6.85;-;-;-;-;-;-;-;['Mid Laner', 'Top Laner']
LPL/2015_Season/Spring_Season;Cassiopeia;10;3.8%;-;10;7;6;4;60%;3.3;2.8;5.9;3.29;284.3;8.08;-;-;-;-;-;-;-;['Mid Laner']
