championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
2015_Mid-Season_Invitational/Champion_Statistics;Rek'Sai;28;100%;8;20;6;12;8;60%;3.4;2.85;8.25;4.09;110.05;3.49;10.7;337;-;-;67.7%;19.8%;19.5%;['Jungler']
2015_Mid-Season_Invitational/Champion_Statistics;Urgot;27;96.4%;15;12;5;8;4;66.7%;3.58;3.58;6.58;2.84;242.25;7.17;12.3;363;-;-;58.7%;20.7%;21.2%;['Bot Laner', 'Mid Laner']
2015_Mid-Season_Invitational/Champion_Statistics;Hecarim;25;89.3%;18;7;3;3;4;42.9%;4;3.71;6.29;2.77;259.71;7.54;13.1;382;-;-;70.6%;27.5%;23.3%;['Top Laner']
2015_Mid-Season_Invitational/Champion_Statistics;LeBlanc;25;89.3%;20;5;3;3;2;60%;5.4;1.8;6.2;6.44;264.6;7.66;13.4;388;-;-;59.2%;27.6%;22.8%;['Mid Laner']
2015_Mid-Season_Invitational/Champion_Statistics;Gragas;24;85.7%;9;15;6;8;7;53.3%;2.47;3.2;9.13;3.63;107.8;3.13;10.5;304;-;-;66.2%;14.1%;18.4%;['Jungler']
2015_Mid-Season_Invitational/Champion_Statistics;Kalista;24;85.7%;14;10;5;6;4;60%;4.9;3.3;6.5;3.45;256.1;7.9;12.7;392;-;-;66.7%;28.7%;23.2%;['Bot Laner']
2015_Mid-Season_Invitational/Champion_Statistics;Cassiopeia;23;82.1%;11;12;6;8;4;66.7%;5.25;2.92;6.33;3.97;304.25;8.29;14.4;393;-;-;56.7%;25.7%;22.2%;['Mid Laner', 'Top Laner']
2015_Mid-Season_Invitational/Champion_Statistics;Maokai;21;75%;8;13;4;10;3;76.9%;3.38;2.85;12.46;5.57;217.77;6.27;12.3;355;-;-;74.4%;15.9%;20%;['Top Laner']
2015_Mid-Season_Invitational/Champion_Statistics;Thresh;20;71.4%;-;20;5;12;8;60%;1.1;3.35;10.7;3.52;30.15;0.95;7.7;243;-;-;70%;6.5%;14.3%;['Support']
2015_Mid-Season_Invitational/Champion_Statistics;Gnar;20;71.4%;2;18;6;7;11;38.9%;3;3.22;5.5;2.64;226.72;6.73;11.2;333;-;-;57.1%;20.1%;20.6%;['Top Laner']
2015_Mid-Season_Invitational/Champion_Statistics;Sivir;20;71.4%;3;17;6;4;13;23.5%;4.12;3;5.82;3.31;280.24;8.14;13;378;-;-;72.5%;30%;24.1%;['Bot Laner']
