championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
PCS/2020_Season/Spring_Season;Aphelios;92;100%;78;14;8;11;3;78.6%;4.71;1.93;5.64;5.37;315.43;9.49;14.8;447;-;-;66.8%;30.4%;24.8%;['Bot Laner']
PCS/2020_Season/Spring_Season;Sett;88;95.7%;53;35;13;18;17;51.4%;2.43;2.86;5.11;2.64;201.17;6.1;11.1;337;-;-;63.8%;20.5%;19.8%;['Top Laner', 'Support', 'Mid Laner']
PCS/2020_Season/Spring_Season;Senna;85;92.4%;74;11;7;6;5;54.5%;3.09;2;8.18;5.64;70.45;2.14;9.9;302;-;-;83.2%;22.8%;17.4%;['Bot Laner', 'Support']
PCS/2020_Season/Spring_Season;LeBlanc;80;87%;61;19;9;11;8;57.9%;3.95;2.16;5.63;4.44;238.16;7.46;11.9;374;-;-;65.5%;27%;21.3%;['Mid Laner']
PCS/2020_Season/Spring_Season;Elise;77;83.7%;62;15;8;9;6;60%;2.73;2.8;5.73;3.02;164.2;4.92;10.5;315;-;-;64.5%;20.8%;17.9%;['Jungler']
PCS/2020_Season/Spring_Season;Zoe;70;76.1%;44;26;9;12;14;46.2%;2.35;2.31;4.42;2.93;236.38;7.41;11.1;349;-;-;67.2%;23.3%;21%;['Mid Laner']
PCS/2020_Season/Spring_Season;Miss Fortune;67;72.8%;7;60;10;35;25;58.3%;3.67;1.68;4.73;4.99;329.95;10.13;14.4;442;-;-;71.7%;31.3%;25.5%;['Bot Laner']
PCS/2020_Season/Spring_Season;Rek'Sai;65;70.7%;30;35;11;23;12;65.7%;2.86;2.2;5.26;3.69;179.57;5.49;10.9;332;-;-;59.8%;21.1%;18.8%;['Jungler']
PCS/2020_Season/Spring_Season;Syndra;64;69.6%;41;23;14;14;9;60.9%;2.7;1.83;5.17;4.31;283.65;8.41;12.9;383;-;-;61.1%;20.9%;21.8%;['Mid Laner', 'Bot Laner']
PCS/2020_Season/Spring_Season;Ornn;63;68.5%;36;27;11;17;10;63%;1.81;2.3;6.56;3.65;226.26;6.91;11.1;340;-;-;64%;13.9%;19.5%;['Top Laner', 'Mid Laner', 'Support']
