championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
VCS/2018_Season/Spring_Season;Ryze;124;92.5%;56;68;10;38;30;55.9%;3.65;2.5;4.76;3.36;315.03;9.83;-;-;-;-;64.6%;28%;-;['Mid Laner', 'Top Laner']
VCS/2018_Season/Spring_Season;Camille;121;90.3%;79;42;15;22;20;52.4%;3.38;3.07;4.29;2.5;245.29;8.07;12.1;398;-;-;59.7%;26.3%;21%;['Top Laner', 'Jungler']
VCS/2018_Season/Spring_Season;Tahm Kench;117;87.3%;77;40;11;22;18;55%;0.75;2.55;7.48;3.23;72.93;2.34;-;-;-;-;65.3%;6%;-;['Support']
VCS/2018_Season/Spring_Season;Jarvan IV;116;86.6%;65;51;11;26;25;51%;2.16;2.96;8.53;3.61;154.08;4.91;-;-;-;-;80%;16.2%;-;['Jungler']
VCS/2018_Season/Spring_Season;Sejuani;112;83.6%;51;61;13;28;33;45.9%;1.69;2.54;7.54;3.63;149.75;4.82;10.1;327;-;-;73.1%;13.4%;17.6%;['Jungler']
VCS/2018_Season/Spring_Season;Azir;102;76.1%;51;51;10;25;26;49%;3.2;2.57;4.35;2.94;327.75;9.99;13.9;425;-;-;62%;26.2%;22.8%;['Mid Laner']
VCS/2018_Season/Spring_Season;Kalista;96;71.6%;58;38;8;20;18;52.6%;4.68;2.05;4.37;4.41;320.66;10.18;14.2;452;-;-;72%;37.2%;24%;['Bot Laner']
VCS/2018_Season/Spring_Season;Braum;93;69.4%;45;48;10;20;28;41.7%;0.5;3.1;7.31;2.52;75.23;2.35;-;-;-;-;64.8%;4.1%;-;['Support']
VCS/2018_Season/Spring_Season;Kha'Zix;91;67.9%;57;34;8;22;12;64.7%;3.5;2.85;5.15;3.03;179.79;5.32;11.8;350;-;-;61.4%;24.8%;18.4%;['Jungler']
VCS/2018_Season/Spring_Season;Zoe;88;65.7%;72;16;7;9;7;56.3%;4;2.19;5.56;4.37;308.69;8.69;14.4;405;-;-;63.7%;26.7%;21.3%;['Mid Laner', 'Support']
VCS/2018_Season/Spring_Season;Ornn;86;64.2%;27;59;15;28;31;47.5%;1.85;2.68;6.37;3.07;243.95;7.53;-;-;-;-;61.5%;13.8%;-;['Top Laner', 'Support', 'Bot Laner']
VCS/2018_Season/Spring_Season;Taliyah;82;61.2%;50;32;8;14;18;43.8%;3.72;3.09;6.31;3.24;289.5;9.11;-;-;-;-;69.6%;25.8%;-;['Mid Laner']
VCS/2018_Season/Spring_Season;Varus;79;59%;37;42;9;17;25;40.5%;3.4;2.24;5.02;3.77;323.83;10.11;13.9;435;-;-;68.1%;27.5%;23.6%;['Bot Laner']
VCS/2018_Season/Spring_Season;Ezreal;78;58.2%;18;60;9;32;28;53.3%;3.58;1.8;4.77;4.64;317.1;9.71;-;-;-;-;63.8%;27.4%;-;['Bot Laner']
VCS/2018_Season/Spring_Season;Gnar;78;58.2%;34;44;11;25;19;56.8%;2.14;2.68;5.09;2.69;302.98;9.05;-;-;-;-;50.1%;14.8%;-;['Top Laner']
VCS/2018_Season/Spring_Season;Rakan;72;53.7%;48;24;9;15;9;62.5%;0.58;3;10.17;3.58;28.92;0.92;8.9;282;-;-;71.5%;3.9%;14.7%;['Support']
VCS/2018_Season/Spring_Season;Alistar;66;49.3%;30;36;9;17;19;47.2%;0.67;2.97;7.39;2.71;65.61;2.11;8.3;266;-;-;63.5%;5.3%;14.3%;['Support']
VCS/2018_Season/Spring_Season;Janna;61;45.5%;30;31;9;11;20;35.5%;0.87;2.45;7.03;3.22;34.45;1.07;8.4;260;-;-;69.2%;7.6%;14.7%;['Support']
VCS/2018_Season/Spring_Season;Galio;61;45.5%;46;15;6;8;7;53.3%;3.47;2.93;8.33;4.02;265.27;8.29;12.6;392;-;-;68.6%;20.2%;20.8%;['Mid Laner', 'Top Laner']
VCS/2018_Season/Spring_Season;Kog'Maw;58;43.3%;38;20;7;8;12;40%;3.75;2.1;4.1;3.74;308.15;9.75;13.7;433;-;-;63.3%;30.2%;23.1%;['Bot Laner']
VCS/2018_Season/Spring_Season;Sion;54;40.3%;27;27;13;12;15;44.4%;0.81;2.59;5.78;2.54;245.33;7.36;11.3;340;-;-;50.1%;6.2%;18.9%;['Top Laner', 'Support', 'Mid Laner']
VCS/2018_Season/Spring_Season;Caitlyn;51;38.1%;17;34;8;20;14;58.8%;3.85;2.35;4.44;3.53;340.38;10.28;14.8;446;-;-;61.8%;28.7%;24.2%;['Bot Laner']
VCS/2018_Season/Spring_Season;Tristana;50;37.3%;16;34;9;18;16;52.9%;5.26;1.76;4.35;5.45;325.06;10.6;14.4;468;-;-;75.2%;41.1%;25.3%;['Bot Laner']
VCS/2018_Season/Spring_Season;Jayce;48;35.8%;33;15;8;8;7;53.3%;2.6;2.87;4.4;2.44;284.07;8.99;12.8;405;-;-;60.7%;22.5%;21.7%;['Top Laner', 'Mid Laner']
VCS/2018_Season/Spring_Season;Taric;47;35.1%;26;21;8;13;8;61.9%;0.62;2.1;6.52;3.41;75.29;2.44;8.7;282;-;-;60.2%;5.2%;14.7%;['Support']
VCS/2018_Season/Spring_Season;Jax;39;29.1%;17;22;9;10;12;45.5%;2.5;2.23;4.18;3;177.45;5.95;10.6;356;-;-;63.6%;23.8%;19.2%;['Jungler', 'Top Laner']
VCS/2018_Season/Spring_Season;Nidalee;37;27.6%;20;17;7;9;8;52.9%;2.88;2.41;5.82;3.61;206.24;6.54;12;379;-;-;67%;22.2%;19.9%;['Jungler']
VCS/2018_Season/Spring_Season;Cassiopeia;34;25.4%;12;22;9;9;13;40.9%;3.45;2.55;4.45;3.11;294.68;9.19;13;405;-;-;68.8%;30%;22.5%;['Mid Laner']
VCS/2018_Season/Spring_Season;Thresh;34;25.4%;16;18;10;8;10;44.4%;1.11;3.5;8.44;2.73;49.33;1.51;8.4;256;-;-;66.7%;7.8%;14%;['Support']
VCS/2018_Season/Spring_Season;Shen;34;25.4%;17;17;10;7;10;41.2%;1.06;2.82;9;3.56;112.29;3.34;10.1;301;-;-;72.8%;7.7%;16.1%;['Support', 'Top Laner']
VCS/2018_Season/Spring_Season;Xayah;32;23.9%;8;24;8;13;11;54.2%;3.79;1.96;4.92;4.45;336.46;10.57;14.4;453;-;-;65.9%;28.7%;24.2%;['Bot Laner']
