championship_id;date;patch;blue_side;red_side;winner;blue_bans;red_bans;blue_picks;red_picks;blue_roster;red_roster
CBLOL/2015_Season/Split_1;2015-03-01;5.3;Keyd Stars;INTZ;INTZ;['Leona', 'Zed', 'Veigar'];"[""Rek'Sai"", 'Lissandra', 'Jax']";['Rumble', 'Nunu', 'Morgana', 'Graves', 'Braum'];['Fizz', 'Jarvan IV', 'Ahri', 'Corki', 'Annie'];['Mylon', 'DayDream', 'Takeshi', 'Emperor (Kim Jin-hyun)', 'Loop (Caio Almeida)'];['Yang (Felipe Zhao)', 'Revolta', 'Tockers', 'MicaO', 'Jockster']
CBLOL/2015_Season/Split_1;2015-03-01;5.3;Dexterity Team;Keyd Stars;Keyd Stars;"['Rumble', ""Rek'Sai"", 'Jax']";['Vi', 'Morgana', 'Lissandra'];['Riven', 'Pantheon', 'Lulu', 'Jinx', 'Janna'];['Irelia', 'Jarvan IV', 'LeBlanc', 'Graves', 'Annie'];['7ico', 'Piolho', 'PrZo', 'Rellik (André Guerra)', 'Anjinho'];['Mylon', 'DayDream', 'Takeshi', 'Emperor (Kim Jin-hyun)', 'Loop (Caio Almeida)']
CBLOL/2015_Season/Split_1;2015-03-01;5.3;Keyd Stars;Dexterity Team;Keyd Stars;['Vi', 'Janna', 'Lissandra'];['Gnar', 'Nidalee', 'Rumble'];"['Jax', ""Rek'Sai"", 'Morgana', 'Graves', 'Annie']";['Maokai', 'Jarvan IV', 'Ezreal', 'Corki', 'Leona'];['Mylon', 'DayDream', 'Takeshi', 'Emperor (Kim Jin-hyun)', 'Loop (Caio Almeida)'];['7ico', 'Piolho', 'PrZo', 'Rellik (André Guerra)', 'Anjinho']
CBLOL/2015_Season/Split_1;2015-03-01;5.3;CNB e-Sports Club;PaiN Gaming;CNB e-Sports Club;['Katarina', 'Maokai', 'Vi'];['Janna', 'Lissandra', 'Morgana'];"['Lulu', ""Rek'Sai"", 'LeBlanc', ""Kog'Maw"", 'Thresh']";['Rumble', 'Jarvan IV', 'Ezreal', 'Graves', 'Leona'];['Aoshi', 'Nappon', 'Electro (Lucas Dal Prá)', 'Kalec', 'Wos'];['Leko', 'SirT', 'Kami (Gabriel Bohm Santos)', 'BrTT', 'Dioud']
CBLOL/2015_Season/Split_1;2015-03-01;5.3;PaiN Gaming;CNB e-Sports Club;PaiN Gaming;['Janna', 'Morgana', 'Lissandra'];['Katarina', 'LeBlanc', 'Leona'];['Maokai', 'Vi', 'Ezreal', 'Graves', 'Thresh'];['Sion', 'Lee Sin', 'Ahri', 'Lucian', 'Annie'];['Leko', 'SirT', 'Kami (Gabriel Bohm Santos)', 'BrTT', 'Dioud'];['Aoshi', 'Nappon', 'Electro (Lucas Dal Prá)', 'Kalec', 'Wos']
CBLOL/2015_Season/Split_1;2015-02-28;5.3;KaBuM! Black;KaBuM! Orange;KaBuM! Black;['Morgana', 'LeBlanc', 'Vi'];['Janna', 'Gnar', 'Lissandra'];['Rumble', 'Nidalee', 'Corki', 'Graves', 'Braum'];['Lulu', 'Jarvan IV', 'Ahri', 'Lucian', 'Leona'];['SkyBart', 'Danagorn', 'Goku', 'Matsukaze', 'Espeon'];['LEP', 'BruNo (Bruno Oliveira)', 'TinOwns', 'Eryon', 'Dans']
CBLOL/2015_Season/Split_1;2015-02-28;5.3;KaBuM! Black;INTZ;INTZ;['Annie', 'Kassadin', 'Lissandra'];['Vi', 'Nidalee', 'Janna'];"['Rumble', ""Rek'Sai"", 'Lulu', 'Vayne', 'Braum']";['Sion', 'Jarvan IV', 'Ahri', 'Corki', 'Veigar'];['SkyBart', 'Danagorn', 'Goku', 'Matsukaze', 'Espeon'];['Yang (Felipe Zhao)', 'Revolta', 'Tockers', 'MicaO', 'Jockster']
CBLOL/2015_Season/Split_1;2015-02-28;5.3;INTZ;KaBuM! Black;INTZ;['Veigar', 'Vi', 'Nidalee'];"['Annie', 'Lissandra', ""Rek'Sai""]";['Rumble', 'Lee Sin', 'Zed', 'Corki', 'Leona'];['Gnar', 'Jarvan IV', 'Lulu', 'Graves', 'Janna'];['Yang (Felipe Zhao)', 'Revolta', 'Tockers', 'MicaO', 'Jockster'];['SkyBart', 'Danagorn', 'Goku', 'Matsukaze', 'Espeon']
CBLOL/2015_Season/Split_1;2015-02-28;5.3;JAYOB e-Sports;KaBuM! Orange;KaBuM! Orange;['Nidalee', 'Ahri', 'Morgana'];['Zed', 'Kassadin', 'Lissandra'];['Rumble', 'Jarvan IV', 'Lulu', 'Lucian', 'Thresh'];['Maokai', 'Vi', 'LeBlanc', 'Graves', 'Leona'];['Element', 'Oxydrean', 'YeTz', 'TheFoxz', 'Huez0rd'];['LEP', 'BruNo (Bruno Oliveira)', 'TinOwns', 'Eryon', 'Dans']
CBLOL/2015_Season/Split_1;2015-02-28;5.3;KaBuM! Orange;JAYOB e-Sports;JAYOB e-Sports;['Kalista', 'Zed', 'Kassadin'];['Nidalee', 'Morgana', 'Ahri'];['Lissandra', 'Lee Sin', 'Twisted Fate', 'Lucian', 'Nami'];['Rumble', 'Jarvan IV', 'Karthus', 'Graves', 'Thresh'];['LEP', 'BruNo (Bruno Oliveira)', 'TinOwns', 'Eryon', 'Dans'];['Element', 'Oxydrean', 'YeTz', 'TheFoxz', 'Huez0rd']
