championship_id;date;patch;blue_side;red_side;winner;blue_bans;red_bans;blue_picks;red_picks;blue_roster;red_roster
LCK/2016_Season/Spring_Season;2016-04-09;6.6;Jin Air Green Wings;Longzhu Gaming;Longzhu Gaming;['Jayce', 'Varus', 'Alistar'];['Sivir', 'Azir', 'Ryze'];['Ekko', 'Graves', 'Lissandra', 'Kalista', 'Kennen'];['Fiora', 'Elise', 'Corki', 'Lucian', 'Braum'];['TrAce', 'Winged', 'Kuzan', 'Pilot (Na Woo-hyung)', 'Chei'];['Expession', 'Chaser', 'Coco', 'Cpt Jack', 'Pure']
LCK/2016_Season/Spring_Season;2016-04-09;6.6;Longzhu Gaming;Jin Air Green Wings;Longzhu Gaming;['Gangplank', 'Alistar', 'Ekko'];['Ryze', 'Nidalee', 'Sivir'];['Maokai', 'Elise', 'Varus', 'Corki', 'Trundle'];['Poppy', 'Graves', 'LeBlanc', 'Ashe', 'Braum'];['Expession', 'Chaser', 'Coco', 'Cpt Jack', 'Pure'];['TrAce', 'Winged', 'Kuzan', 'Pilot (Na Woo-hyung)', 'Chei']
LCK/2016_Season/Spring_Season;2016-04-09;6.6;Jin Air Green Wings;Longzhu Gaming;Jin Air Green Wings;['Jayce', 'Varus', 'Ryze'];['Sivir', 'Corki', 'Ekko'];['Poppy', 'Nidalee', 'Azir', 'Lucian', 'Trundle'];['Maokai', 'Graves', 'Lissandra', 'Ashe', 'Alistar'];['TrAce', 'Winged', 'Kuzan', 'Pilot (Na Woo-hyung)', 'Chei'];['Expession', 'Chaser', 'Coco', 'Fury (Lee Jin-yong)', 'Pure']
LCK/2016_Season/Spring_Season;2016-04-09;6.6;KT Rolster;Kongdoo Monster;KT Rolster;['Azir', 'Gangplank', 'Alistar'];['Ryze', 'Ekko', 'Sivir'];['Poppy', 'Nidalee', 'Lissandra', 'Lucian', 'Trundle'];['Maokai', 'Elise', 'Corki', 'Kalista', 'Braum'];['Ssumday', 'Score', 'Fly (Song Yong-jun)', 'Arrow', 'Hachani'];['Hipo', 'Crush', 'Edge', 'SSol', 'GuGer']
LCK/2016_Season/Spring_Season;2016-04-09;6.6;Kongdoo Monster;KT Rolster;Kongdoo Monster;['Ryze', 'Ekko', 'Graves'];['Azir', 'Varus', 'Maokai'];['Trundle', 'Nidalee', 'Gangplank', 'Corki', 'Alistar'];['Poppy', 'Kindred', 'Zilean', 'Sivir', 'Bard'];['Hipo', 'Crush', 'Edge', 'SSol', 'GuGer'];['Ssumday', 'Score', 'Fly (Song Yong-jun)', 'Arrow', 'Hachani']
LCK/2016_Season/Spring_Season;2016-04-09;6.6;KT Rolster;Kongdoo Monster;KT Rolster;['Azir', 'Varus', 'Corki'];['Ryze', 'Ekko', 'Nidalee'];['Poppy', 'Graves', 'Zilean', 'Sivir', 'Trundle'];['Maokai', 'Kindred', 'LeBlanc', 'Kalista', 'Alistar'];['Ssumday', 'Score', 'Fly (Song Yong-jun)', 'Arrow', 'Hachani'];['Hipo', 'Crush', 'Edge', 'SSol', 'GuGer']
LCK/2016_Season/Spring_Season;2016-04-08;6.6;SBENU Sonicboom;SK Telecom T1;SK Telecom T1;['Kindred', 'Ekko', 'Trundle'];['Lee Sin', 'Azir', 'Poppy'];['Ryze', 'Graves', 'Karma', 'Corki', 'Alistar'];['Maokai', 'Nidalee', 'Twisted Fate', 'Sivir', 'Tahm Kench'];['Soul (Seo Hyeon-seok)', 'Flawless', 'SaSin', 'Nuclear', 'Secret (Park Ki-sun)'];['Duke (Lee Ho-seong)', 'Blank (Kang Sun-gu)', 'Faker', 'Bang', 'Wolf (Lee Jae-wan)']
LCK/2016_Season/Spring_Season;2016-04-08;6.6;SK Telecom T1;SBENU Sonicboom;SK Telecom T1;['Lee Sin', 'Braum', 'Ryze'];['Azir', 'Kindred', 'Nidalee'];['Maokai', 'Graves', 'Corki', 'Lucian', 'Alistar'];"['Poppy', ""Rek'Sai"", 'Ekko', 'Sivir', 'Trundle']";['Duke (Lee Ho-seong)', 'Blank (Kang Sun-gu)', 'Faker', 'Bang', 'Wolf (Lee Jae-wan)'];['Soul (Seo Hyeon-seok)', 'Flawless', 'SaSin', 'Nuclear', 'Secret (Park Ki-sun)']
LCK/2016_Season/Spring_Season;2016-04-08;6.6;CJ Entus;Afreeca Freecs;Afreeca Freecs;['Twisted Fate', 'Sivir', 'Ryze'];['Varus', 'Azir', 'Zed'];['Poppy', 'Graves', 'Karma', 'Twitch', 'Braum'];['Ekko', 'Nidalee', 'Lulu', 'Kalista', 'Alistar'];['Untara', 'Bubbling', 'Bdd', 'Kramer', 'MadLife'];['Ikssu', 'LirA', 'Mickey (Son Young-min)', 'Sangyoon', 'SnowFlower']
LCK/2016_Season/Spring_Season;2016-04-08;6.6;Afreeca Freecs;CJ Entus;Afreeca Freecs;['Varus', 'Azir', 'Zed'];['Twisted Fate', 'Sivir', 'Kalista'];['Maokai', 'Graves', 'Ryze', 'Lucian', 'Braum'];['Ekko', 'Kindred', 'Lissandra', 'Ezreal', 'Trundle'];['Ikssu', 'LirA', 'Mickey (Son Young-min)', 'Sangyoon', 'SnowFlower'];['Untara', 'Bubbling', 'Bdd', 'Kramer', 'MadLife']
LCK/2016_Season/Spring_Season;2016-04-07;6.6;Kongdoo Monster;Samsung Galaxy;Samsung Galaxy;['Graves', 'Ekko', 'Ryze'];['Jhin', 'Varus', 'Kalista'];['Maokai', 'Nidalee', 'LeBlanc', 'Sivir', 'Braum'];['Poppy', 'Elise', 'Azir', 'Lucian', 'Alistar'];['Hipo', 'Crush', 'Edge', 'SSol', 'GuGer'];['CuVee', 'Ambition', 'Crown', 'CoreJJ', 'Wraith']
LCK/2016_Season/Spring_Season;2016-04-07;6.6;Samsung Galaxy;Kongdoo Monster;Kongdoo Monster;['Varus', 'Jhin', 'Corki'];['Ekko', 'Ryze', 'Graves'];['Gangplank', 'Kindred', 'Azir', 'Sivir', 'Trundle'];['Maokai', 'Nidalee', 'LeBlanc', 'Kalista', 'Alistar'];['CuVee', 'Ambition', 'Crown', 'CoreJJ', 'Wraith'];['Hipo', 'Crush', 'Edge', 'SSol', 'GuGer']
LCK/2016_Season/Spring_Season;2016-04-07;6.6;Kongdoo Monster;Samsung Galaxy;Samsung Galaxy;['Graves', 'Ryze', 'Ekko'];['Jhin', 'Varus', 'Kindred'];['Poppy', 'Nidalee', 'Corki', 'Kalista', 'Alistar'];['Gangplank', 'Elise', 'Azir', 'Sivir', 'Braum'];['Hipo', 'Crush', 'Edge', 'SSol', 'GuGer'];['CuVee', 'Ambition', 'Crown', 'CoreJJ', 'Wraith']
LCK/2016_Season/Spring_Season;2016-04-07;6.6;Jin Air Green Wings;ROX Tigers;ROX Tigers;['Sivir', 'Varus', 'Kindred'];['Kalista', 'Graves', 'Alistar'];['Ekko', 'Nidalee', 'Azir', 'Ashe', 'Braum'];['Ryze', 'Elise', 'Jarvan IV', 'Lucian', 'Trundle'];['TrAce', 'Winged', 'Kuzan', 'Pilot (Na Woo-hyung)', 'Chei'];['Smeb', 'Peanut', 'Kuro', 'PraY', 'GorillA']
LCK/2016_Season/Spring_Season;2016-04-07;6.6;ROX Tigers;Jin Air Green Wings;ROX Tigers;['Azir', 'Kalista', 'Sivir'];['Nidalee', 'Kindred', 'Graves'];['Ryze', 'Lee Sin', 'Karma', 'Ashe', 'Trundle'];['Gangplank', 'Elise', 'Lissandra', 'Corki', 'Alistar'];['Smeb', 'Peanut', 'Kuro', 'PraY', 'GorillA'];['TrAce', 'Winged', 'Kuzan', 'Pilot (Na Woo-hyung)', 'Chei']
