championship_id;date;patch;blue_side;red_side;winner;blue_bans;red_bans;blue_picks;red_picks;blue_roster;red_roster
NA_LCS/2015_Season/Spring_Season;2015-03-30;5.5;Cloud9;Counter Logic Gaming;Cloud9;['Lulu', 'Corki', 'Sejuani'];['Zed', 'Rumble', 'Nidalee'];['Maokai', 'Zac', 'Jarvan IV', 'Draven', 'Morgana'];['Hecarim', 'Vi', 'Lissandra', 'Vayne', 'Alistar'];['Balls', 'Meteos', 'Hai', 'Sneaky', 'LemonNation'];['ZionSpartan', 'Xmithie', 'Link', 'Doublelift', 'Aphromoo']
NA_LCS/2015_Season/Spring_Season;2015-03-30;5.5;Team 8;Team Liquid;Team Liquid;['Annie', 'Vladimir', 'Maokai'];['Orianna', 'LeBlanc', 'Rumble'];"['Hecarim', ""Rek'Sai"", 'Lissandra', 'Corki', 'Thresh']";['Lulu', 'Sejuani', 'Zed', 'Lucian', 'Janna'];['CaliTrlolz', 'Porpoise', 'Slooshi', 'Maplestreet', 'Dodo8'];['Quas', 'IWDominate', 'FeniX', 'Piglet', 'Xpecial']
NA_LCS/2015_Season/Spring_Season;2015-03-29;5.5;Counter Logic Gaming;Team Impulse;Team Impulse;['Karthus', 'Nidalee', 'Lee Sin'];['Sion', 'Sejuani', 'Morgana'];"['Jax', ""Rek'Sai"", 'Lulu', 'Kalista', 'Alistar']";['Rumble', 'Vi', 'Corki', 'Graves', 'Leona'];['ZionSpartan', 'Xmithie', 'Link', 'Doublelift', 'Aphromoo'];['Impact', 'Rush', 'XiaoWeiXiao', 'Apollo (Apollo Price)', 'Adrian (Adrian Ma)']
NA_LCS/2015_Season/Spring_Season;2015-03-29;5.5;Gravity (North American Team);Team 8;Gravity (North American Team);['Nidalee', 'Orianna', 'LeBlanc'];['Urgot', 'Hecarim', 'Sejuani'];['Rumble', 'Nunu', 'Vladimir', 'Graves', 'Thresh'];"['Gragas', ""Rek'Sai"", 'Lissandra', 'Sivir', 'Morgana']";['Hauntzer', 'Saintvicious', 'Keane', 'Cop', 'Bunny FuFuu'];['CaliTrlolz', 'Porpoise', 'Slooshi', 'Maplestreet', 'Dodo8']
NA_LCS/2015_Season/Spring_Season;2015-03-29;5.5;Dignitas;Team Liquid;Team Liquid;"['Nidalee', ""Rek'Sai"", 'Lulu']";['Sion', 'Maokai', 'Rumble'];['Kennen', 'Zac', 'Diana', 'Sivir', 'Thresh'];['Hecarim', 'Sejuani', 'Lissandra', 'Kalista', 'Annie'];['Gamsu', 'Azingy', 'Shiphtur', 'CoreJJ', 'KiWiKiD'];['Quas', 'IWDominate', 'FeniX', 'Piglet', 'Xpecial']
NA_LCS/2015_Season/Spring_Season;2015-03-29;5.5;Cloud9;TSM;Cloud9;['Lulu', 'Nidalee', 'Zed'];['Rumble', 'Sejuani', 'Morgana'];['Maokai', 'Vi', 'Lissandra', 'Lucian', 'Nautilus'];"['Kennen', ""Rek'Sai"", ""Cho'Gath"", 'Graves', 'Leona']";['Balls', 'Meteos', 'Hai', 'Sneaky', 'LemonNation'];['Dyrus', 'Santorin', 'Bjergsen', 'WildTurtle', 'Lustboy']
NA_LCS/2015_Season/Spring_Season;2015-03-29;5.5;Winterfox;Team Coast;Winterfox;['Rengar', 'Irelia', 'Sejuani'];['Maokai', 'Hecarim', 'Nidalee'];"['Sion', 'Lee Sin', ""Cho'Gath"", 'Sivir', 'Lulu']";['Lissandra', 'Gragas', 'Urgot', 'Varus', 'Janna'];['Avalon', 'Helios (Shin Dong-jin)', 'Pobelter', 'Altec', 'Gleeb'];['Cris', 'WTHeaven', 'Mancloud', 'Mash', 'KonKwon']
NA_LCS/2015_Season/Spring_Season;2015-03-28;5.5;Team Impulse;Dignitas;Dignitas;['Hecarim', 'Sejuani', 'Vi'];['Karthus', 'Lee Sin', 'Nidalee'];"['Rumble', ""Rek'Sai"", 'LeBlanc', 'Graves', 'Janna']";['Sion', 'Zac', 'Katarina', 'Lucian', 'Annie'];['Impact', 'Rush', 'XiaoWeiXiao', 'Apollo (Apollo Price)', 'Adrian (Adrian Ma)'];['Gamsu', 'Azingy', 'Shiphtur', 'CoreJJ', 'KiWiKiD']
NA_LCS/2015_Season/Spring_Season;2015-03-28;5.5;Team Coast;TSM;TSM;['Zed', 'Annie', 'LeBlanc'];['Rengar', 'Maokai', 'Sejuani'];"['Sion', ""Rek'Sai"", 'Cassiopeia', 'Twitch', 'Nautilus']";"['Lulu', 'Nidalee', 'Urgot', ""Kog'Maw"", 'Janna']";['Cris', 'WTHeaven', 'Mancloud', 'Mash', 'KonKwon'];['Dyrus', 'Santorin', 'Bjergsen', 'WildTurtle', 'Lustboy']
NA_LCS/2015_Season/Spring_Season;2015-03-28;5.5;Winterfox;Team Liquid;Winterfox;['Nunu', 'Hecarim', 'Sejuani'];['Lulu', 'Maokai', 'Urgot'];['Sion', 'Nidalee', 'Ezreal', 'Caitlyn', 'Nautilus'];"['Renekton', ""Rek'Sai"", 'Vladimir', 'Graves', 'Annie']";['Avalon', 'Helios (Shin Dong-jin)', 'Pobelter', 'Altec', 'Gleeb'];['Quas', 'IWDominate', 'FeniX', 'Piglet', 'Xpecial']
