championship_id;date;patch;blue_side;red_side;winner;blue_bans;red_bans;blue_picks;red_picks;blue_roster;red_roster
EU_LCS/2015_Season/Spring_Season;2015-03-27;5.5;MeetYourMakers;Giants Gaming;Giants Gaming;['Twisted Fate', 'Diana', 'Annie'];['Leona', 'Lulu', 'Corki'];['Irelia', 'Sejuani', 'Cassiopeia', 'Graves', 'Braum'];['Hecarim', 'Vi', 'Ahri', 'Sivir', 'Thresh'];['Jwaow', 'H0R0', 'Kori', 'MrRalleZ', 'Noxiak'];['Werlyb', 'Fr3deric', 'PePiiNeRO', 'Adryh (Adrián Pérez)', 'Rydle']
EU_LCS/2015_Season/Spring_Season;2015-03-27;5.5;H2k-Gaming;Unicorns of Love;H2k-Gaming;"['Cassiopeia', ""Kog'Maw"", 'Hecarim']";['Maokai', 'Lulu', 'Gnar'];['Sion', 'Nidalee', 'LeBlanc', 'Sivir', 'Thresh'];['Yorick', 'Nunu', 'Syndra', 'Graves', 'Annie'];['Odoamne', 'Loulex', 'Ryu', 'Hjarnan', 'KaSing'];['Vizicsacsi', 'Kikis', 'PowerOfEvil', 'Vardags', 'Hylissang']
EU_LCS/2015_Season/Spring_Season;2015-03-27;5.5;MeetYourMakers;Team ROCCAT;MeetYourMakers;"['Thresh', ""Kog'Maw"", 'Lulu']";['Hecarim', 'Cassiopeia', 'Sejuani'];['Maokai', 'Gragas', 'Ahri', 'Corki', 'Leona'];['Irelia', 'Nidalee', 'LeBlanc', 'Jinx', 'Janna'];['Jwaow', 'H0R0', 'Kori', 'MrRalleZ', 'Noxiak'];['Overpow', 'Jankos', 'Nukeduck', 'Woolite', 'Vander']
EU_LCS/2015_Season/Spring_Season;2015-03-27;5.5;Gambit Gaming;SK Gaming;SK Gaming;"['Lucian', 'LeBlanc', ""Rek'Sai""]";['Zed', 'Sejuani', 'Nidalee'];['Diana', 'Vi', 'Ahri', 'Graves', 'Thresh'];['Maokai', 'Lee Sin', 'Katarina', 'Caitlyn', 'Nami'];['Cabochard', 'Diamond (Danil Reshetnikov)', 'Betsy', 'P1noy', 'Edward'];['Fredy122', 'Svenskeren', 'Fox (Hampus Myhre)', 'FORG1VENGRE', 'NRated']
EU_LCS/2015_Season/Spring_Season;2015-03-27;5.5;Fnatic;Elements;Fnatic;['Maokai', 'Lulu', 'Karthus'];['Annie', 'Hecarim', 'Zed'];"[""Cho'Gath"", ""Rek'Sai"", 'LeBlanc', 'Lucian', 'Janna']";['Irelia', 'Lee Sin', 'Ahri', 'Sivir', 'Thresh'];['Huni', 'Reignover', 'Febiven', 'Steeelback', 'YellOwStaR'];['Wickd', 'Shook', 'Froggen', 'Rekkles', 'Krepo']
EU_LCS/2015_Season/Spring_Season;2015-03-27;5.5;Copenhagen Wolves;Giants Gaming;Giants Gaming;['LeBlanc', 'Jax', 'Twisted Fate'];['Kalista', 'Lulu', 'Cassiopeia'];['Maokai', 'Nunu', 'Ahri', 'Graves', 'Annie'];['Hecarim', 'Sejuani', 'Diana', 'Sivir', 'Leona'];['YoungBuck', 'Airwaks', 'Soren (Søren Frederiksen)', 'Freeze', 'Unlimited (Petar Georgiev)'];['Werlyb', 'Fr3deric', 'PePiiNeRO', 'Adryh (Adrián Pérez)', 'Rydle']
EU_LCS/2015_Season/Spring_Season;2015-03-26;5.5;Unicorns of Love;Gambit Gaming;Gambit Gaming;['Morgana', 'Diana', 'Sejuani'];"['Cassiopeia', ""Kog'Maw"", 'Hecarim']";"['Fizz', 'Nidalee', ""Cho'Gath"", 'Graves', 'Annie']";['Maokai', 'Vi', 'Ahri', 'Jinx', 'Thresh'];['Vizicsacsi', 'Kikis', 'PowerOfEvil', 'Vardags', 'Hylissang'];['Cabochard', 'Diamond (Danil Reshetnikov)', 'Betsy', 'P1noy', 'Edward']
EU_LCS/2015_Season/Spring_Season;2015-03-26;5.5;Giants Gaming;Elements;Elements;['Karthus', 'Sejuani', 'Lulu'];['Jax', 'Hecarim', 'Diana'];"['Maokai', ""Rek'Sai"", 'Twisted Fate', 'Corki', 'Annie']";['Trundle', 'Lee Sin', 'LeBlanc', 'Jinx', 'Thresh'];['Werlyb', 'Fr3deric', 'PePiiNeRO', 'Adryh (Adrián Pérez)', 'Rydle'];['Wickd', 'Shook', 'Froggen', 'Rekkles', 'Krepo']
EU_LCS/2015_Season/Spring_Season;2015-03-26;5.5;SK Gaming;MeetYourMakers;SK Gaming;['Nidalee', 'Fizz', 'Cassiopeia'];"[""Cho'Gath"", 'Sejuani', 'Graves']";"['Maokai', ""Rek'Sai"", 'Zed', 'Lucian', 'Nami']";['Lulu', 'Nunu', 'Ahri', 'Jinx', 'Leona'];['Fredy122', 'Svenskeren', 'Fox (Hampus Myhre)', 'FORG1VENGRE', 'NRated'];['Jwaow', 'H0R0', 'Kori', 'MrRalleZ', 'Noxiak']
EU_LCS/2015_Season/Spring_Season;2015-03-26;5.5;H2k-Gaming;Fnatic;Fnatic;['Rumble', 'Lissandra', 'Zed'];['Maokai', 'Morgana', 'Lulu'];['Gnar', 'Nunu', 'Ahri', 'Caitlyn', 'Annie'];['Hecarim', 'Sejuani', 'LeBlanc', 'Ezreal', 'Thresh'];['Odoamne', 'Loulex', 'Ryu', 'Hjarnan', 'KaSing'];['Huni', 'Reignover', 'Febiven', 'Steeelback', 'YellOwStaR']
EU_LCS/2015_Season/Spring_Season;2015-03-26;5.5;Copenhagen Wolves;Team ROCCAT;Copenhagen Wolves;['LeBlanc', 'Zed', 'Twisted Fate'];['Cassiopeia', 'Annie', 'Nunu'];['Lulu', 'Sejuani', 'Ahri', 'Kalista', 'Nami'];"['Maokai', 'Gragas', 'Katarina', ""Kog'Maw"", 'Janna']";['YoungBuck', 'Airwaks', 'Soren (Søren Frederiksen)', 'Freeze', 'Unlimited (Petar Georgiev)'];['Overpow', 'Jankos', 'Nukeduck', 'Woolite', 'Vander']
EU_LCS/2015_Season/Spring_Season;2015-03-20;5.5;Elements;Gambit Gaming;Gambit Gaming;['Annie', 'Kalista', 'Zed'];"['Karthus', 'Lulu', ""Kog'Maw""]";['Maokai', 'Sejuani', 'Kassadin', 'Lucian', 'Janna'];['Morgana', 'Nidalee', 'Ezreal', 'Jinx', 'Thresh'];['Wickd', 'Shook', 'Froggen', 'Rekkles', 'Krepo'];['Cabochard', 'Diamond (Danil Reshetnikov)', 'Betsy', 'P1noy', 'Edward']
EU_LCS/2015_Season/Spring_Season;2015-03-20;5.5;Giants Gaming;Team ROCCAT;Team ROCCAT;"['Zed', ""Kog'Maw"", 'Maokai']";['Cassiopeia', 'Hecarim', 'Jax'];"['Renekton', ""Rek'Sai"", 'LeBlanc', 'Lucian', 'Lulu']";['Jarvan IV', 'Sejuani', 'Twisted Fate', 'Jinx', 'Janna'];['Werlyb', 'Fr3deric', 'PePiiNeRO', 'Adryh (Adrián Pérez)', 'Rydle'];['Overpow', 'Jankos', 'Nukeduck', 'Woolite', 'Vander']
