championship_id;date;patch;blue_side;red_side;winner;blue_bans;red_bans;blue_picks;red_picks;blue_roster;red_roster
LLA/2019_Season/Opening_Season;2019-03-25;9.5;Pixel Esports Club;Rainbow7;Pixel Esports Club;['Jayce', 'Cassiopeia', 'Irelia', 'Kennen', 'Neeko'];"['Sylas', 'Morgana', 'Lissandra', ""Cho'Gath"", 'LeBlanc']";['Renekton', 'Jarvan IV', 'Corki', 'Kalista', 'Thresh'];['Akali', 'Lee Sin', 'Zed', 'Draven', 'Tahm Kench'];['Nipphu', 'QQ', 'TopLop', 'Manu', 'Shmebu'];['Acce', 'Grell', 'Leza', 'Nobody (Nicolás Ale)', 'Baula']
LLA/2019_Season/Opening_Season;2019-03-24;9.5;All Knights;Kaos Latin Gamers;All Knights;['Lee Sin', 'Rakan', 'Cassiopeia', 'Varus', 'Ezreal'];['Jayce', 'Sylas', 'Kalista', 'Thresh', 'Tahm Kench'];['Yorick', 'Olaf', 'Lissandra', 'Lucian', 'Alistar'];['Jax', 'Jarvan IV', 'Ryze', 'Vayne', 'Braum'];['Parang', 'Hoglet', 'Plugo', 'Zeicro', 'Newbie'];['Nate', 'Froststrike', 'Zelt', 'Fix', 'Shadow (Facundo Cuello)']
LLA/2019_Season/Opening_Season;2019-03-24;9.5;Rainbow7;XTEN Esports;Rainbow7;['Braum', 'Ryze', 'Vladimir', 'Tahm Kench', 'Thresh'];"['Sylas', 'Jayce', 'Kalista', 'Olaf', ""Rek'Sai""]";['Yorick', 'Evelynn', 'Irelia', 'Lucian', 'Alistar'];['Kennen', 'Jarvan IV', 'Lissandra', 'Jinx', 'Galio'];['Acce', 'Grell', 'Leza', 'Nobody (Nicolás Ale)', 'Baula'];['Straight', 'Itsi', 'Xuradel', 'Kindless', 'DCStar']
LLA/2019_Season/Opening_Season;2019-03-24;9.5;Kaos Latin Gamers;Furious Gaming;Furious Gaming;['Thresh', 'Zoe', 'Ryze', 'Ashe', 'Varus'];['Lee Sin', 'Sylas', 'Jayce', 'Galio', 'Kennen'];['Vladimir', 'Nocturne', 'Lissandra', 'Kalista', 'Braum'];['Jarvan IV', 'Ivern', 'Cassiopeia', 'Vayne', 'Tahm Kench'];['Nate', 'Froststrike', 'Zelt', 'Fix', 'Shadow (Facundo Cuello)'];['Akunma', 'Josedeodo', 'Aloned', 'Zeypher', 'Gralou']
LLA/2019_Season/Opening_Season;2019-03-24;9.5;INFINITY;All Knights;All Knights;['Olaf', 'Tahm Kench', 'Jayce', 'Yorick', 'Fiora'];['Kalista', 'Sylas', 'Rakan', 'Kennen', 'Poppy'];['Renekton', 'Jarvan IV', 'Lissandra', 'Ezreal', 'Galio'];"['Ryze', ""Rek'Sai"", 'LeBlanc', 'Lucian', 'Braum']";['Relic', 'SolidSnake', 'Cotopaco', 'Renyu', 'Arce'];['Parang', 'Hoglet', 'Plugo', 'Zeicro', 'Newbie']
LLA/2019_Season/Opening_Season;2019-03-24;9.5;Isurus;XTEN Esports;Isurus;['Ryze', 'Zoe', 'Jarvan IV', 'Galio', 'Cassiopeia'];['Jayce', 'Sylas', 'Kalista', 'Vladimir', 'Skarner'];['Kennen', 'Olaf', 'Lissandra', 'Lucian', 'Thresh'];"['Poppy', ""Rek'Sai"", 'Swain', ""Kai'Sa"", 'Alistar']";['Buggax', 'Oddie', 'Seiya', 'Warangelus', 'Slow'];['Straight', 'Itsi', 'Xuradel', 'Kindless', 'DCStar']
LLA/2019_Season/Opening_Season;2019-03-24;9.5;INFINITY;Isurus;INFINITY;['Lucian', 'Vladimir', 'Jayce', 'Neeko', 'Ryze'];['Olaf', 'Kalista', 'Tahm Kench', 'Akali', 'Kennen'];"['Poppy', ""Rek'Sai"", 'Sylas', 'Xayah', 'Rakan']";['Fiora', 'Jarvan IV', 'Irelia', 'Ezreal', 'Braum'];['Relic', 'SolidSnake', 'Cotopaco', 'Renyu', 'Arce'];['Buggax', 'Oddie', 'Seiya', 'Warangelus', 'Slow']
LLA/2019_Season/Opening_Season;2019-03-24;9.5;XTEN Esports;Pixel Esports Club;XTEN Esports;"['Lucian', 'Jayce', 'Thresh', ""Cho'Gath"", 'Lee Sin']";['Sylas', 'Lissandra', 'Kalista', 'Ashe', 'Ezreal'];['Kennen', 'Jarvan IV', 'Ryze', 'Jinx', 'Alistar'];"['Yorick', 'Aatrox', 'Corki', ""Kai'Sa"", 'Galio']";['Straight', 'Itsi', 'Xuradel', 'Kindless', 'DCStar'];['Nipphu', 'QQ', 'TopLop', 'Manu', 'Shmebu']
LLA/2019_Season/Opening_Season;2019-03-23;9.5;INFINITY;Furious Gaming;INFINITY;['Thresh', 'Zoe', 'Ryze', 'Galio', 'Irelia'];['Sylas', 'Vladimir', 'Jayce', 'Lee Sin', 'Skarner'];['Kennen', 'Nocturne', 'Lissandra', 'Lucian', 'Braum'];['Cassiopeia', 'Jarvan IV', 'Viktor', 'Kalista', 'Tahm Kench'];['Relic', 'SolidSnake', 'Cotopaco', 'Renyu', 'Arce'];['Akunma', 'Josedeodo', 'Aloned', 'Zeypher', 'Gralou']
LLA/2019_Season/Opening_Season;2019-03-23;9.5;All Knights;Isurus;All Knights;['Braum', 'Ryze', 'Sylas', 'Zilean', 'Morgana'];['Olaf', 'Jayce', 'Tahm Kench', 'Nocturne', 'Lee Sin'];"['Kennen', ""Rek'Sai"", 'Lissandra', 'Kalista', 'Rakan']";['Vladimir', 'Jarvan IV', 'Swain', 'Lucian', 'Alistar'];['Parang', 'Hoglet', 'Plugo', 'Zeicro', 'Newbie'];['Buggax', 'Oddie', 'Seiya', 'Warangelus', 'Slow']
