championship_id;date;patch;blue_side;red_side;winner;blue_bans;red_bans;blue_picks;red_picks;blue_roster;red_roster
LPL/2015_Season/Spring_Season;2015-04-12;;Masters 3;Vici Gaming;Vici Gaming;"['Blitzcrank', ""Cho'Gath"", 'Gnar']";['Maokai', 'Ryze', 'Hecarim'];"['Shyvana', ""Rek'Sai"", 'LeBlanc', 'Twitch', 'Thresh']";['Riven', 'Zac', 'Lulu', 'Vayne', 'Janna'];['Looper', 'Condi', 'Dade', 'SmLz', 'Lovecd'];['Carry (Wang Zu-Jing)', 'DanDy', 'Hetong', 'Vasilii', 'Mata']
LPL/2015_Season/Spring_Season;2015-04-12;;Vici Gaming;Masters 3;Vici Gaming;['Sejuani', 'Zed', 'Janna'];"[""Rek'Sai"", 'Twisted Fate', ""Cho'Gath""]";['Gnar', 'Fizz', 'Orianna', 'Kalista', 'Blitzcrank'];['Ryze', 'Lee Sin', 'Azir', 'Urgot', 'Annie'];['Carry (Wang Zu-Jing)', 'DanDy', 'Hetong', 'Vasilii', 'Mata'];['Looper', 'Condi', 'Dade', 'SmLz', 'Lovecd']
LPL/2015_Season/Spring_Season;2015-04-12;;EDward Gaming;Oh My God;EDward Gaming;['Lissandra', 'Kalista', 'Lulu'];"['Urgot', ""Rek'Sai"", 'Sejuani']";['Shyvana', 'Nunu', 'Zed', 'Sivir', 'Annie'];['Sion', 'Nidalee', 'Cassiopeia', 'Lucian', 'Thresh'];['Koro1', 'ClearLove', 'PawN', 'Deft', 'Meiko'];['Gogoing', 'LoveLing', 'Xiyang', 'Uzi (Jian Zi-Hao)', 'Luo (Luo Ci-rui)']
LPL/2015_Season/Spring_Season;2015-04-12;;Oh My God;EDward Gaming;EDward Gaming;"['Urgot', ""Rek'Sai"", 'Maokai']";['Lissandra', 'Kalista', 'Lulu'];['Shyvana', 'Sejuani', 'LeBlanc', 'Jinx', 'Janna'];['Hecarim', 'Nunu', 'Twisted Fate', 'Sivir', 'Annie'];['Gogoing', 'LoveLing', 'Xiyang', 'Uzi (Jian Zi-Hao)', 'Luo (Luo Ci-rui)'];['Koro1', 'ClearLove', 'PawN', 'Deft', 'Meiko']
LPL/2015_Season/Spring_Season;2015-04-12;;Gamtee;Team WE;Team WE;['Sion', 'Urgot', 'Nautilus'];['Azir', 'Karthus', 'LeBlanc'];['Dr. Mundo', 'Nunu', 'Corki', 'Kalista', 'Morgana'];['Lulu', 'Sejuani', 'Vladimir', 'Lucian', 'Janna'];['LetMe', 'Hu1', 'Xiaohu', 'Tale', 'SinkDream'];['Aluka', 'Spirit', 'Xiye', 'Mystic', 'Conan']
LPL/2015_Season/Spring_Season;2015-04-12;;Team WE;Gamtee;Team WE;['Azir', 'LeBlanc', 'Karthus'];['Urgot', 'Sion', 'Kalista'];['Lulu', 'Nunu', 'Vladimir', 'Jinx', 'Nautilus'];['Maokai', 'Sejuani', 'Xerath', 'Sivir', 'Janna'];['Aluka', 'Spirit', 'Xiye', 'Mystic', 'Conan'];['LetMe', 'Hu1', 'Xiaohu', 'Tale', 'SinkDream']
LPL/2015_Season/Spring_Season;2015-04-12;;LGD Gaming;Invictus Gaming;Invictus Gaming;['Azir', 'Udyr', 'Sejuani'];['None', 'None', 'None'];['Hecarim', 'Jarvan IV', 'Talon', 'Tristana', 'Blitzcrank'];['Karthus', 'Evelynn', 'LeBlanc', 'Lucian', 'Bard'];['Acorn', 'TBQ', 'We1less', 'Imp', 'Pyl (Chen Bo)'];['Zzitai', 'KaKAO', 'Save', 'Kid', 'Kitties']
LPL/2015_Season/Spring_Season;2015-04-12;;Invictus Gaming;LGD Gaming;Invictus Gaming;"['Nunu', 'Lulu', ""Cho'Gath""]";['Udyr', 'Janna', 'Azir'];['Rumble', 'Sejuani', 'Orianna', 'Urgot', 'Kennen'];['Maokai', 'Lee Sin', 'LeBlanc', 'Kalista', 'Nautilus'];['Zzitai', 'KaKAO', 'RooKie', 'Kid', 'Kitties'];['Flame', 'TBQ', 'We1less', 'Imp', 'Pyl (Chen Bo)']
LPL/2015_Season/Spring_Season;2015-04-11;;EDward Gaming;Energy Pacemaker;EDward Gaming;"[""Cho'Gath"", 'Kalista', 'Lulu']";['Urgot', 'Sejuani', 'LeBlanc'];['Hecarim', 'Nunu', 'Twisted Fate', 'Jinx', 'Annie'];['Sion', 'Jarvan IV', 'Azir', 'Graves', 'Janna'];['Koro1', 'ClearLove', 'PawN', 'Deft', 'Meiko'];['AmazingJ', 'Drizzle', 'Raphael (Ko Jae-hyun)', 'ZangAo', 'X1u']
LPL/2015_Season/Spring_Season;2015-04-11;;Energy Pacemaker;EDward Gaming;EDward Gaming;['Urgot', 'Sejuani', 'LeBlanc'];"[""Cho'Gath"", 'Kalista', 'Lulu']";['Hecarim', 'Jarvan IV', 'Azir', 'Graves', 'Thresh'];['Shyvana', 'Nunu', 'Kassadin', 'Sivir', 'Annie'];['AmazingJ', 'Drizzle', 'Raphael (Ko Jae-hyun)', 'ZangAo', 'X1u'];['Koro1', 'ClearLove', 'PawN', 'Deft', 'Meiko']
