championship_id;date;patch;blue_side;red_side;winner;blue_bans;red_bans;blue_picks;red_picks;blue_roster;red_roster
2015_Mid-Season_Invitational/Match_History;2015-05-12;5.7;SK Telecom T1;EDward Gaming;EDward Gaming;"['Hecarim', ""Rek'Sai"", 'Jinx']";['Kalista', 'Gragas', 'Cassiopeia'];['Gnar', 'Nunu', 'LeBlanc', 'Urgot', 'Nautilus'];['Maokai', 'Evelynn', 'Morgana', 'Sivir', 'Alistar'];['MaRin', 'Bengi', 'Faker', 'Bang', 'Wolf (Lee Jae-wan)'];['Koro1', 'Clearlove', 'PawN', 'Deft', 'Meiko']
2015_Mid-Season_Invitational/Match_History;2015-05-12;5.7;EDward Gaming;SK Telecom T1;SK Telecom T1;['Kalista', 'Cassiopeia', 'Urgot'];"['LeBlanc', ""Rek'Sai"", 'Jinx']";['Maokai', 'Nunu', 'Azir', 'Corki', 'Annie'];['Gnar', 'Gragas', 'Kassadin', 'Ezreal', 'Alistar'];['Koro1', 'Clearlove', 'PawN', 'Deft', 'Meiko'];['MaRin', 'Bengi', 'Faker', 'Bang', 'Wolf (Lee Jae-wan)']
2015_Mid-Season_Invitational/Match_History;2015-05-12;5.7;SK Telecom T1;EDward Gaming;EDward Gaming;['LeBlanc', 'Hecarim', 'Gragas'];['Kalista', 'Cassiopeia', 'Urgot'];"['Rumble', ""Rek'Sai"", 'Lulu', 'Sivir', 'Thresh']";['Maokai', 'Nunu', 'Azir', 'Jinx', 'Annie'];['MaRin', 'Bengi', 'Easyhoon', 'Bang', 'Wolf (Lee Jae-wan)'];['Koro1', 'Clearlove', 'PawN', 'Deft', 'Meiko']
2015_Mid-Season_Invitational/Match_History;2015-05-11;5.7;EDward Gaming;Ahq eSports Club;EDward Gaming;['Zed', 'Maokai', 'Sivir'];['Azir', 'Cassiopeia', 'Hecarim'];['Irelia', 'Gragas', 'Twisted Fate', 'Urgot', 'Thresh'];"['Gnar', ""Rek'Sai"", 'Fizz', 'Kalista', 'Annie']";['Koro1', 'Clearlove', 'PawN', 'Deft', 'Meiko'];['Ziv (Chen Yi)', 'Mountain (Xue Zhao-Hong)', 'Westdoor', 'AN', 'Albis']
2015_Mid-Season_Invitational/Match_History;2015-05-11;5.7;Ahq eSports Club;EDward Gaming;EDward Gaming;['Azir', 'Cassiopeia', 'Hecarim'];"['Kalista', 'Urgot', ""Rek'Sai""]";['Gnar', 'Gragas', 'Fizz', 'Lucian', 'Nautilus'];['Maokai', 'Sejuani', 'Kassadin', 'Sivir', 'Thresh'];['Ziv (Chen Yi)', 'Mountain (Xue Zhao-Hong)', 'Westdoor', 'AN', 'Albis'];['Koro1', 'Clearlove', 'PawN', 'Deft', 'Meiko']
2015_Mid-Season_Invitational/Match_History;2015-05-11;5.7;EDward Gaming;Ahq eSports Club;EDward Gaming;['Zed', 'Gragas', 'Urgot'];"['Azir', 'LeBlanc', ""Rek'Sai""]";['Hecarim', 'Nautilus', 'Cassiopeia', 'Kalista', 'Thresh'];['Maokai', 'Sejuani', 'Twisted Fate', 'Sivir', 'Leona'];['Koro1', 'Clearlove', 'PawN', 'Deft', 'Meiko'];['Ziv (Chen Yi)', 'Mountain (Xue Zhao-Hong)', 'Westdoor', 'AN', 'Albis']
2015_Mid-Season_Invitational/Match_History;2015-05-10;5.7;EDward Gaming;SK Telecom T1;EDward Gaming;['Kalista', 'Alistar', 'Azir'];['LeBlanc', 'Hecarim', 'Urgot'];['Maokai', 'Gragas', 'Cassiopeia', 'Jinx', 'Annie'];"['Rumble', ""Rek'Sai"", 'Orianna', 'Lucian', 'Leona']";['Koro1', 'Clearlove', 'PawN', 'Deft', 'Meiko'];['MaRin', 'Bengi', 'Easyhoon', 'Bang', 'Wolf (Lee Jae-wan)']
2015_Mid-Season_Invitational/Match_History;2015-05-10;5.7;SK Telecom T1;EDward Gaming;SK Telecom T1;['LeBlanc', 'Hecarim', 'Twisted Fate'];"['Nunu', ""Rek'Sai"", 'Alistar']";['Maokai', 'Gragas', 'Cassiopeia', 'Kalista', 'Annie'];['Gnar', 'Sejuani', 'Orianna', 'Urgot', 'Thresh'];['MaRin', 'Bengi', 'Easyhoon', 'Bang', 'Wolf (Lee Jae-wan)'];['Koro1', 'Clearlove', 'PawN', 'Deft', 'Meiko']
2015_Mid-Season_Invitational/Match_History;2015-05-10;5.7;Ahq eSports Club;SK Telecom T1;SK Telecom T1;['Cassiopeia', 'Alistar', 'Nunu'];['LeBlanc', 'Fizz', 'Twisted Fate'];"['Maokai', ""Rek'Sai"", ""Cho'Gath"", 'Sivir', 'Nautilus']";['Gnar', 'Gragas', 'Azir', 'Urgot', 'Thresh'];['Ziv (Chen Yi)', 'Mountain (Xue Zhao-Hong)', 'Westdoor', 'AN', 'Albis'];['MaRin', 'Bengi', 'Easyhoon', 'Bang', 'Wolf (Lee Jae-wan)']
2015_Mid-Season_Invitational/Match_History;2015-05-10;5.7;Fnatic;Beşiktaş Esports;Fnatic;['Ahri', 'Morgana', 'Hecarim'];['LeBlanc', 'Cassiopeia', 'Urgot'];"['Rumble', ""Rek'Sai"", 'Zed', 'Kalista', 'Thresh']";['Gnar', 'Sejuani', 'Lulu', 'Lucian', 'Bard'];['Huni', 'Reignover', 'Febiven', 'Steeelback', 'YellOwStaR'];['Thaldrin', 'Theokoles', 'Energy', 'Nardeus', 'Dumbledoge']
