championship_id;date;patch;blue_side;red_side;winner;blue_bans;red_bans;blue_picks;red_picks;blue_roster;red_roster
PCS/2020_Season/Spring_Season;2020-04-05;10.6;Hong Kong Attitude;J Team;J Team;['Senna', 'Elise', 'Kalista', 'Yasuo', 'Qiyana'];['Aphelios', 'Sett', 'Renekton', 'Syndra', 'Azir'];['Maokai', 'Trundle', 'Corki', 'Miss Fortune', 'Nautilus'];['Wukong', 'Gragas', 'LeBlanc', 'Varus', 'Taric'];['3z', 'Holo (Tsang Dek Lam)', 'JimieN', 'MnM (Wong Ka Chun)', 'Wing'];['Rest', 'Hana', 'Keorb', 'Lilv', 'Nestea']
PCS/2020_Season/Spring_Season;2020-04-05;10.6;Hong Kong Attitude;Liyab Esports;Hong Kong Attitude;['Senna', 'Elise', 'Kalista', 'Wukong', 'LeBlanc'];['Sett', 'Miss Fortune', 'Varus', 'Olaf', 'Trundle'];['Ornn', 'Jarvan IV', 'Zoe', 'Aphelios', 'Thresh'];"['Renekton', ""Rek'Sai"", 'Pantheon', 'Syndra', 'Tahm Kench']";['3z', 'Holo (Tsang Dek Lam)', 'JimieN', 'MnM (Wong Ka Chun)', 'Wing'];['Kurd', 'Doedoii', 'Rex (Kim Tae-yeon)', 'Exosen', 'Hamez']
PCS/2020_Season/Spring_Season;2020-04-04;10.6;J Team;Machi Esports;Machi Esports;['Varus', 'Syndra', 'Kalista', 'Braum', 'Thresh'];"['Aphelios', 'Taric', 'Senna', ""Kai'Sa"", 'LeBlanc']";['Sett', 'Trundle', 'Zoe', 'Ezreal', 'Nautilus'];['Renekton', 'Sejuani', 'Azir', 'Miss Fortune', 'Bard'];['Rest', 'Hana', 'Keorb', 'Lilv', 'Woody'];['PK', 'Gemini', 'Mission', 'Bruce', 'Koala (Lin Chih-Chiang)']
PCS/2020_Season/Spring_Season;2020-04-04;10.6;Talon Esports;Hong Kong Attitude;Talon Esports;['Olaf', 'Sett', 'Zoe', 'Syndra', 'Irelia'];['Aphelios', 'Wukong', 'LeBlanc', 'Tahm Kench', 'Braum'];['Quinn', 'Elise', 'Pantheon', 'Varus', 'Bard'];['Rumble', 'Sejuani', 'Renekton', 'Kalista', 'Taric'];['Hanabi (Su Chia-Hsiang)', 'River (Kim Dong-woo)', 'Candy (Kim Seung-ju)', 'Unified', 'Kaiwing'];['3z', 'Holo (Tsang Dek Lam)', 'JimieN', 'MnM (Wong Ka Chun)', 'Wing']
PCS/2020_Season/Spring_Season;2020-04-04;10.6;Ahq eSports Club;Alpha Esports;Ahq eSports Club;['Elise', 'LeBlanc', 'Lee Sin', 'Jarvan IV', 'Vayne'];['Nautilus', 'Syndra', 'Aphelios', 'Mordekaiser', 'Zoe'];['Sett', 'Olaf', 'Galio', 'Kalista', 'Taric'];"['Wukong', ""Rek'Sai"", 'Orianna', 'Varus', 'Tahm Kench']";['Ziv (Chen Yi)', 'Kongyue', 'Uniboy', 'Wako', 'Ysera'];['Rock (Tsai Chung-Ting)', 'Catjug', 'Assassin', 'Atlen', 'Kino']
PCS/2020_Season/Spring_Season;2020-04-04;10.6;Talon Esports;Resurgence;Talon Esports;['Olaf', 'Bard', 'Elise', 'Mordekaiser', 'LeBlanc'];['Kalista', 'Sett', 'Jarvan IV', 'Braum', 'Nautilus'];['Wukong', 'Sejuani', 'Syndra', 'Aphelios', 'Blitzcrank'];"['Poppy', ""Rek'Sai"", 'Ekko', 'Varus', 'Thresh']";['Hanabi (Su Chia-Hsiang)', 'River (Kim Dong-woo)', 'Candy (Kim Seung-ju)', 'Unified', 'Kaiwing'];['Shinsekai', 'Epic', 'Raven (Kenneth Goh Kai Yang)', 'Mexi', 'Dennis']
PCS/2020_Season/Spring_Season;2020-04-04;10.6;Berjaya Dragons;Nova Esports (Thai Team);Berjaya Dragons;['Senna', 'Elise', 'Kalista', 'Sejuani', 'LeBlanc'];"['Aphelios', ""Rek'Sai"", 'Sett', 'Aatrox', 'Irelia']";['Wukong', 'Jarvan IV', 'Rumble', 'Varus', 'Tahm Kench'];['Renekton', 'Lee Sin', 'Sylas', 'Ashe', 'Braum'];['Azhi', 'Enso', 'Maoan', 'K2 (Law Chi Kit)', 'Chilly'];['Rockky', 'Ryan', 'G4', 'MixCrosS', 'PoP']
PCS/2020_Season/Spring_Season;2020-04-04;10.6;Liyab Esports;Resurgence;Resurgence;['Bard', 'Olaf', 'Sett', 'LeBlanc', 'Azir'];['Kalista', 'Elise', 'Trundle', 'Zoe', 'Galio'];['Mordekaiser', 'Jarvan IV', 'Sylas', 'Aphelios', 'Tahm Kench'];"['Wukong', ""Rek'Sai"", 'Cassiopeia', 'Varus', 'Thresh']";['Kurd', 'Doedoii', 'Rex (Kim Tae-yeon)', 'Exosen', 'Hamez'];['Shinsekai', 'Epic', 'Raven (Kenneth Goh Kai Yang)', 'Mexi', 'Dennis']
PCS/2020_Season/Spring_Season;2020-04-03;10.6;Nova Esports (Thai Team);Liyab Esports;Liyab Esports;['Zoe', 'Varus', 'Aphelios', 'Ezreal', 'Miss Fortune'];['Kalista', 'Elise', 'Sett', 'LeBlanc', 'Azir'];['Quinn', 'Jarvan IV', 'Viktor', 'Senna', 'Maokai'];['Jayce', 'Trundle', 'Renekton', 'Syndra', 'Tahm Kench'];['Rockky', 'Ryan', 'G4', 'MixCrosS', 'PoP'];['Kurd', 'Doedoii', 'Rex (Kim Tae-yeon)', 'Exosen', 'Hamez']
PCS/2020_Season/Spring_Season;2020-04-03;10.6;Liyab Esports;Machi Esports;Machi Esports;"[""Rek'Sai"", 'Taric', 'Sett', 'Tahm Kench', 'Zoe']";['Aphelios', 'Elise', 'Pantheon', 'Thresh', 'LeBlanc'];['Aatrox', 'Trundle', 'Sylas', 'Kalista', 'Rakan'];['Ornn', 'Jarvan IV', 'Azir', 'Varus', 'Nautilus'];['Kaigu', 'Doedoii', 'Rex (Kim Tae-yeon)', 'Exosen', 'Hamez'];['PK', 'Gemini', 'Mission', 'Bruce', 'Koala (Lin Chih-Chiang)']
