championship_id;date;patch;blue_side;red_side;winner;blue_bans;red_bans;blue_picks;red_picks;blue_roster;red_roster
VCS/2018_Season/Spring_Season;2018-03-18;8.4;Friends Forever Gaming;GIGABYTE Marines;GIGABYTE Marines;['Camille', 'Varus', 'Sion', 'Janna', 'Zyra'];"[""Kha'Zix"", 'Rakan', 'Ryze', 'Thresh', 'Alistar']";['Swain', 'Jarvan IV', 'Cassiopeia', 'Tristana', 'Shen'];['Gnar', 'Olaf', 'Azir', 'Caitlyn', 'Tahm Kench'];['KingJ', 'Sena', 'Lies (Ông Gia Nguyên)', 'Celebrity', 'Sergh'];['Zeros', 'KrissKyle', 'Zeroday', 'Noway (Nguyễn Vũ Long)', 'Archie (Trần Minh Nhựt)']
VCS/2018_Season/Spring_Season;2018-03-18;8.4;GIGABYTE Marines;Friends Forever Gaming;GIGABYTE Marines;"[""Kha'Zix"", 'Rakan', 'Swain', 'Thresh', 'Alistar']";['Camille', 'Varus', 'Gnar', 'Janna', 'Tahm Kench'];['Sion', 'Olaf', 'Ryze', 'Ashe', 'Zyra'];['Ornn', 'Sejuani', 'Taliyah', 'Tristana', 'Braum'];['Zeros', 'KrissKyle', 'Zeroday', 'Noway (Nguyễn Vũ Long)', 'Archie (Trần Minh Nhựt)'];['KingJ', 'Sena', 'Lies (Ông Gia Nguyên)', 'Celebrity', 'Sergh']
VCS/2018_Season/Spring_Season;2018-03-18;8.4;Friends Forever Gaming;GIGABYTE Marines;Friends Forever Gaming;['Camille', 'Varus', 'Sion', 'Gnar', 'Janna'];"['Rakan', ""Kha'Zix"", 'Braum', 'Alistar', 'Thresh']";['Swain', 'Jarvan IV', 'Ryze', 'Tristana', 'Shen'];"[""Cho'Gath"", 'Sejuani', 'Taliyah', 'Caitlyn', 'Zyra']";['KingJ', 'Sena', 'Lies (Ông Gia Nguyên)', 'Celebrity', 'Sergh'];['Zeros', 'KrissKyle', 'Zeroday', 'Noway (Nguyễn Vũ Long)', 'Archie (Trần Minh Nhựt)']
VCS/2018_Season/Spring_Season;2018-03-18;8.4;Young Generation;FTV Esports;Young Generation;['Ryze', 'Tristana', 'Rakan', 'Varus', 'Azir'];['Gnar', 'Poppy', 'Caitlyn', 'Jayce', 'Jax'];['Swain', 'Skarner', 'Corki', 'Xayah', 'Tahm Kench'];['Camille', 'Sejuani', 'Sion', 'Vayne', 'Janna'];['YT', 'Venus', 'Naul', 'BigKoro', 'Palette'];['Taurus', 'Knight (Vũ Hồng Sơn)', 'Victory', 'Slayder', 'Akeno']
VCS/2018_Season/Spring_Season;2018-03-18;8.4;FTV Esports;Young Generation;Young Generation;['Sejuani', 'Rakan', 'Tahm Kench', 'Taliyah', 'Azir'];['Ryze', 'Tristana', 'Caitlyn', 'Camille', 'Jax'];['Sion', 'Nidalee', 'Galio', 'Ezreal', 'Alistar'];['Gnar', 'Jarvan IV', 'Corki', 'Xayah', 'Poppy'];['SunSieu', 'Knight (Vũ Hồng Sơn)', 'Victory', 'Slayder', 'Akeno'];['YT', 'Venus', 'Naul', 'BigKoro', 'Palette']
VCS/2018_Season/Spring_Season;2018-03-17;8.4;Hall of Fame;EVOS Esports;EVOS Esports;"['Olaf', ""Kha'Zix"", 'Gnar', 'Tahm Kench', 'Braum']";['Jax', 'Xayah', 'Azir', 'Varus', 'Tristana'];"[""Cho'Gath"", 'Camille', 'Cassiopeia', 'Kalista', 'Thresh']";['Sion', 'Kindred', 'Ryze', 'Caitlyn', 'Bard'];['LL (Ngô Minh Quân)', 'Xuhao', 'Pake', 'Minas', 'Shaoran'];['Stark (Phan Công Minh)', 'YiJin', 'Warzone', 'Slay', 'RonOP']
VCS/2018_Season/Spring_Season;2018-03-17;8.4;EVOS Esports;Hall of Fame;EVOS Esports;['Xayah', 'Gnar', 'Tahm Kench', 'Jax', 'Jarvan IV'];"['Olaf', ""Kha'Zix"", 'Jayce', 'Azir', 'Braum']";['Camille', 'Sejuani', 'Lulu', 'Tristana', 'Taric'];['Renekton', 'Gragas', 'Galio', 'Caitlyn', 'Alistar'];['Stark (Phan Công Minh)', 'YiJin', 'Warzone', 'Slay', 'RonOP'];['LL (Ngô Minh Quân)', 'Xuhao', 'Pake', 'Minas', 'Shaoran']
VCS/2018_Season/Spring_Season;2018-03-17;8.4;Cherry Esports;Ultimate;Ultimate;['Galio', 'Taliyah', 'Rakan', 'Tristana', 'Varus'];['Sejuani', 'Olaf', 'Camille', 'Zac', 'Jarvan IV'];['Gangplank', 'Lee Sin', 'Ryze', 'Caitlyn', 'Tahm Kench'];['Gnar', 'Skarner', 'Azir', 'Ezreal', 'Sion'];['Ikaros (Lư Chấn Hưng)', 'Potm', 'Artifact', 'Clear (Trịnh Ngọc Anh Tuấn)', 'Kidz'];['Calm (Đinh Trọng Quyết)', 'Spot', 'Blazes', 'Zin', 'Tear (Nguyễn Chiến Thắng)']
VCS/2018_Season/Spring_Season;2018-03-17;8.4;Ultimate;Cherry Esports;Cherry Esports;['Olaf', 'Camille', 'Rakan', 'Jarvan IV', 'Skarner'];['Galio', 'Taliyah', 'Sion', 'Braum', 'Janna'];['Ornn', 'Sejuani', 'Azir', 'Varus', 'Thresh'];"['Fiora', ""Kha'Zix"", 'Ryze', 'Caitlyn', 'Tahm Kench']";['Calm (Đinh Trọng Quyết)', 'Spot', 'Blazes', 'Zin', 'Tear (Nguyễn Chiến Thắng)'];['Rika (Vũ Tuấn Mạnh)', 'Potm', 'Artifact', 'Clear (Trịnh Ngọc Anh Tuấn)', 'Kidz']
VCS/2018_Season/Spring_Season;2018-03-17;8.4;Cherry Esports;Ultimate;Ultimate;['Galio', 'Taliyah', 'Tahm Kench', 'Braum', 'Caitlyn'];['Olaf', 'Sejuani', 'Camille', 'Xayah', 'Varus'];"['Ornn', ""Kha'Zix"", 'Azir', 'Ezreal', 'Rakan']";['Sion', 'Skarner', 'Ryze', 'Tristana', 'Thresh'];['Rika (Vũ Tuấn Mạnh)', 'Potm', 'Artifact', 'Clear (Trịnh Ngọc Anh Tuấn)', 'Kidz'];['Calm (Đinh Trọng Quyết)', 'Spot', 'Blazes', 'Zin', 'Tear (Nguyễn Chiến Thắng)']
VCS/2018_Season/Spring_Season;2018-03-16;8.4;EVOS Esports;GIGABYTE Marines;EVOS Esports;['Xayah', 'Caitlyn', 'Taliyah', 'Fiora', 'Gnar'];"['Azir', 'Camille', ""Kha'Zix"", 'Tahm Kench', 'Taric']";"[""Cho'Gath"", 'Olaf', 'Cassiopeia', 'Tristana', 'Alistar']";['Sion', 'Sejuani', 'Fizz', 'Ezreal', 'Janna'];['Stark (Phan Công Minh)', 'YiJin', 'Warzone', 'Slay', 'RonOP'];['Zeros', 'Ciel (Trần Tiến Thịnh)', 'PetLand', 'Noway (Nguyễn Vũ Long)', 'Archie (Trần Minh Nhựt)']
VCS/2018_Season/Spring_Season;2018-03-16;8.4;GIGABYTE Marines;EVOS Esports;EVOS Esports;"['Rakan', ""Kha'Zix"", 'Ryze', 'Varus', 'Tahm Kench']";['Azir', 'Caitlyn', 'Camille', 'Skarner', 'Jarvan IV'];['Gnar', 'Zac', 'Cassiopeia', 'Ezreal', 'Janna'];['Jayce', 'Olaf', 'Taliyah', 'Xayah', 'Thresh'];['Zeros', 'Ciel (Trần Tiến Thịnh)', 'PetLand', 'Noway (Nguyễn Vũ Long)', 'Archie (Trần Minh Nhựt)'];['Stark (Phan Công Minh)', 'YiJin', 'Warzone', 'Slay', 'RonOP']
VCS/2018_Season/Spring_Season;2018-03-16;8.4;Friends Forever Gaming;FTV Esports;FTV Esports;['Rakan', 'Galio', 'Nidalee', 'Gnar', 'Lee Sin'];"['Taliyah', ""Kha'Zix"", 'Jarvan IV', 'Camille', 'Fiora']";['Ornn', 'Sejuani', 'Ryze', 'Varus', 'Braum'];"[""Cho'Gath"", 'Skarner', 'Corki', 'Tristana', 'Alistar']";['KingJ', 'Sena', 'Lies (Ông Gia Nguyên)', 'Celebrity', 'Sergh'];['SunSieu', 'Knight (Vũ Hồng Sơn)', 'Victory', 'Slayder', 'Akeno']
VCS/2018_Season/Spring_Season;2018-03-16;8.4;FTV Esports;Friends Forever Gaming;FTV Esports;['Taliyah', 'Tahm Kench', 'Nidalee', 'Camille', 'Fiora'];"['Skarner', 'Olaf', ""Kha'Zix"", 'Jarvan IV', 'Jax']";['Gnar', 'Lee Sin', 'Galio', 'Tristana', 'Alistar'];['Sion', 'Sejuani', 'Ryze', 'Xayah', 'Rakan'];['SunSieu', 'Knight (Vũ Hồng Sơn)', 'Victory', 'Slayder', 'Akeno'];['KingJ', 'DNK', 'Lies (Ông Gia Nguyên)', 'Celebrity', 'Sergh']
VCS/2018_Season/Spring_Season;2018-03-15;8.4;Young Generation;Ultimate;Young Generation;['Galio', 'Ryze', 'Rakan', 'Taliyah', 'Camille'];['Sejuani', 'Jarvan IV', 'Swain', 'Orianna', 'None'];['Ornn', 'Skarner', 'Corki', 'Caitlyn', 'Braum'];"['Gangplank', ""Kha'Zix"", 'Azir', 'Varus', 'Tahm Kench']";['Ren', 'Venus', 'Naul', 'BigKoro', 'Palette'];['Calm (Đinh Trọng Quyết)', 'Spot', 'Blazes', 'Zin', 'Tear (Nguyễn Chiến Thắng)']
VCS/2018_Season/Spring_Season;2018-03-15;8.4;Ultimate;Young Generation;Ultimate;['Sejuani', 'Camille', 'Rakan', 'Corki', 'Cassiopeia'];['Galio', 'Ryze', 'Taliyah', 'Janna', 'Braum'];"[""Cho'Gath"", ""Kha'Zix"", 'Azir', 'Caitlyn', 'Lulu']";['Shen', 'Jarvan IV', 'LeBlanc', 'Varus', 'Tahm Kench'];['Calm (Đinh Trọng Quyết)', 'Spot', 'Blazes', 'Zin', 'Tear (Nguyễn Chiến Thắng)'];['YT', 'Venus', 'Naul', 'BigKoro', 'Palette']
