championship_id;date;patch;blue_side;red_side;winner;blue_bans;red_bans;blue_picks;red_picks;blue_roster;red_roster
2014_Season_World_Championship/Match_History;2014-10-19;4.14;Samsung White;Star Horn Royal Club;Samsung White;['Lucian', 'Lee Sin', 'Maokai'];['Alistar', 'Jayce', 'Zilean'];['Kassadin', 'Rengar', 'Orianna', 'Corki', 'Janna'];['Ryze', 'Pantheon', 'Lulu', 'Tristana', 'Braum'];['Looper', 'Dandy', 'PawN', 'Imp', 'Mata'];['Cola (Jiang Nan)', 'InSec', 'Corn (Lei Wen)', 'Uzi (Jian Zi-Hao)', 'Zero (Yoon Kyung-sup)']
2014_Season_World_Championship/Match_History;2014-10-19;4.14;Star Horn Royal Club;Samsung White;Star Horn Royal Club;['Alistar', 'Jayce', 'Zilean'];['Rengar', 'Lee Sin', 'Lucian'];['Maokai', 'Rammus', 'Ryze', 'Tristana', 'Braum'];['Singed', 'Jarvan IV', 'Fizz', 'Twitch', 'Thresh'];['Cola (Jiang Nan)', 'InSec', 'Corn (Lei Wen)', 'Uzi (Jian Zi-Hao)', 'Zero (Yoon Kyung-sup)'];['Looper', 'Dandy', 'PawN', 'Imp', 'Mata']
2014_Season_World_Championship/Match_History;2014-10-19;4.14;Samsung White;Star Horn Royal Club;Samsung White;['Lucian', 'Lee Sin', 'Maokai'];['Alistar', 'Zilean', 'Ryze'];['Rumble', 'Rengar', 'Talon', 'Twitch', 'Janna'];"['Dr. Mundo', ""Kha'Zix"", 'Jayce', 'Corki', 'Thresh']";['Looper', 'Dandy', 'PawN', 'Imp', 'Mata'];['Cola (Jiang Nan)', 'InSec', 'Corn (Lei Wen)', 'Uzi (Jian Zi-Hao)', 'Zero (Yoon Kyung-sup)']
2014_Season_World_Championship/Match_History;2014-10-19;4.14;Star Horn Royal Club;Samsung White;Samsung White;['Alistar', 'Zilean', 'Rumble'];['Rengar', 'Lee Sin', 'Lucian'];"['Ryze', ""Kha'Zix"", 'Orianna', 'Tristana', 'Janna']";['Maokai', 'Jarvan IV', 'Jayce', 'Twitch', 'Thresh'];['Cola (Jiang Nan)', 'InSec', 'Corn (Lei Wen)', 'Uzi (Jian Zi-Hao)', 'Zero (Yoon Kyung-sup)'];['Looper', 'Dandy', 'PawN', 'Imp', 'Mata']
2014_Season_World_Championship/Match_History;2014-10-12;4.14;Star Horn Royal Club;Oh My God;Star Horn Royal Club;['Alistar', 'Jayce', 'Twisted Fate'];['Rengar', 'Lee Sin', 'Twitch'];['Maokai', 'Pantheon', 'Ryze', 'Lucian', 'Thresh'];"['Rumble', ""Kha'Zix"", 'Orianna', 'Corki', 'Janna']";['Cola (Jiang Nan)', 'InSec', 'Corn (Lei Wen)', 'Uzi (Jian Zi-Hao)', 'Zero (Yoon Kyung-sup)'];['Gogoing', 'Loveling', 'Cool', 'San (Guo Jun-Liang)', 'Cloud (Hu Zhen-Wei)']
2014_Season_World_Championship/Match_History;2014-10-12;4.14;Oh My God;Star Horn Royal Club;Oh My God;['Rengar', 'Janna', 'Twitch'];['Alistar', 'Ryze', 'Jayce'];['Maokai', 'Lee Sin', 'Twisted Fate', 'Corki', 'Thresh'];"['Dr. Mundo', ""Kha'Zix"", 'Zilean', 'Lucian', 'Nami']";['Gogoing', 'Loveling', 'Cool', 'San (Guo Jun-Liang)', 'Cloud (Hu Zhen-Wei)'];['Cola (Jiang Nan)', 'InSec', 'Corn (Lei Wen)', 'Uzi (Jian Zi-Hao)', 'Zero (Yoon Kyung-sup)']
2014_Season_World_Championship/Match_History;2014-10-12;4.14;Star Horn Royal Club;Oh My God;Star Horn Royal Club;['Alistar', 'Jayce', 'Zilean'];['Rengar', 'Lee Sin', 'Ryze'];['Maokai', 'Fiddlesticks', 'Orianna', 'Twitch', 'Janna'];"['Nidalee', ""Kha'Zix"", 'Twisted Fate', 'Lucian', 'Thresh']";['Cola (Jiang Nan)', 'InSec', 'Corn (Lei Wen)', 'Uzi (Jian Zi-Hao)', 'Zero (Yoon Kyung-sup)'];['Gogoing', 'Loveling', 'Cool', 'San (Guo Jun-Liang)', 'Cloud (Hu Zhen-Wei)']
2014_Season_World_Championship/Match_History;2014-10-12;4.14;Oh My God;Star Horn Royal Club;Star Horn Royal Club;['Rengar', 'Janna', 'Maokai'];['Alistar', 'Ryze', 'Zilean'];['Rumble', 'Lee Sin', 'Jayce', 'Corki', 'Morgana'];"['Dr. Mundo', ""Kha'Zix"", 'Lulu', 'Lucian', 'Thresh']";['Gogoing', 'Loveling', 'Cool', 'San (Guo Jun-Liang)', 'Cloud (Hu Zhen-Wei)'];['Cola (Jiang Nan)', 'InSec', 'Corn (Lei Wen)', 'Uzi (Jian Zi-Hao)', 'Zero (Yoon Kyung-sup)']
2014_Season_World_Championship/Match_History;2014-10-12;4.14;Star Horn Royal Club;Oh My God;Oh My God;['Alistar', 'Maokai', 'Janna'];['Rengar', 'Lee Sin', 'Ryze'];['Irelia', 'Jarvan IV', 'Orianna', 'Tristana', 'Zilean'];"['Rumble', ""Kha'Zix"", 'Jayce', 'Lucian', 'Thresh']";['Cola (Jiang Nan)', 'InSec', 'Corn (Lei Wen)', 'Uzi (Jian Zi-Hao)', 'Zero (Yoon Kyung-sup)'];['Gogoing', 'Loveling', 'Cool', 'San (Guo Jun-Liang)', 'Cloud (Hu Zhen-Wei)']
2014_Season_World_Championship/Match_History;2014-10-11;4.14;Samsung Blue;Samsung White;Samsung White;['Zilean', 'Alistar', 'Jayce'];['Rumble', 'Maokai', 'Thresh'];['Ryze', 'Rengar', 'Twisted Fate', 'Lucian', 'Sona'];['Kassadin', 'Lee Sin', 'Fizz', 'Twitch', 'Janna'];['Acorn', 'Spirit', 'Dade', 'Deft', 'Heart'];['Looper', 'Dandy', 'PawN', 'Imp', 'Mata']
2014_Season_World_Championship/Match_History;2014-10-11;4.14;Samsung White;Samsung Blue;Samsung White;['Thresh', 'Rumble', 'Twitch'];['Zilean', 'Alistar', 'Tristana'];['Maokai', 'Rengar', 'Jayce', 'Corki', 'Morgana'];"['Galio', ""Kha'Zix"", 'Ryze', 'Lucian', 'Janna']";['Looper', 'Dandy', 'PawN', 'Imp', 'Mata'];['Acorn', 'Spirit', 'Dade', 'Deft', 'Heart']
2014_Season_World_Championship/Match_History;2014-10-11;4.14;Samsung Blue;Samsung White;Samsung White;['Tristana', 'Alistar', 'Ryze'];['Rumble', 'Maokai', 'Thresh'];['Kayle', 'Lee Sin', 'Yasuo', 'Varus', 'Zilean'];['Akali', 'Rengar', 'Jayce', 'Twitch', 'Janna'];['Acorn', 'Spirit', 'Dade', 'Deft', 'Heart'];['Looper', 'Dandy', 'PawN', 'Imp', 'Mata']
2014_Season_World_Championship/Match_History;2014-10-06;4.14;NaJin White Shield;Oh My God;Oh My God;['Irelia', 'Lucian', 'Jayce'];['Zilean', 'Alistar', 'Thresh'];"['Maokai', 'Lee Sin', 'Orianna', ""Kog'Maw"", 'Nami']";"['Ryze', ""Kha'Zix"", 'Zed', 'Corki', 'Janna']";['Save', 'Watch', 'Ggoong', 'Zefa', 'GorillA'];['Gogoing', 'Loveling', 'Cool', 'San (Guo Jun-Liang)', 'Cloud (Hu Zhen-Wei)']
2014_Season_World_Championship/Match_History;2014-10-06;4.14;Oh My God;NaJin White Shield;Oh My God;['Alistar', 'Lulu', 'Thresh'];['Zilean', 'Irelia', 'Lee Sin'];['Ryze', 'Rengar', 'Jayce', 'Lucian', 'Janna'];"['Nidalee', ""Kha'Zix"", 'Zed', 'Corki', 'Braum']";['Gogoing', 'Loveling', 'Cool', 'San (Guo Jun-Liang)', 'Cloud (Hu Zhen-Wei)'];['Save', 'Watch', 'Ggoong', 'Zefa', 'GorillA']
2014_Season_World_Championship/Match_History;2014-10-06;4.14;NaJin White Shield;Oh My God;Oh My God;['Maokai', 'Jayce', 'Ryze'];['Zilean', 'Thresh', 'Alistar'];"['Kassadin', ""Kha'Zix"", 'Zed', 'Corki', 'Morgana']";['Irelia', 'Lee Sin', 'Ahri', 'Lucian', 'Janna'];['Save', 'Watch', 'Ggoong', 'Zefa', 'GorillA'];['Gogoing', 'Loveling', 'Cool', 'San (Guo Jun-Liang)', 'Cloud (Hu Zhen-Wei)']
