championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
CBLOL/2015_Season/Split_1;CNB e 2d-Sports Club;Aoshi;14;8;6;57.1%;2.5;3.57;6.36;2.48;238.79;6.33;-;-;-;-;63.9%;18%;-;10;['Lissandra', 'Maokai', 'Gnar']
CBLOL/2015_Season/Split_1;CNB e 2d-Sports Club;Electro;14;8;6;57.1%;3.79;2.57;4.79;3.33;270.43;7.16;-;-;-;-;61.9%;27.3%;-;9;['Ahri', 'Azir', 'LeBlanc']
CBLOL/2015_Season/Split_1;CNB e 2d-Sports Club;Kalec;14;8;6;57.1%;3.5;3.43;5.79;2.71;296.86;7.86;-;-;-;-;67%;25.3%;-;6;['Graves', 'Sivir', 'Lucian']
CBLOL/2015_Season/Split_1;CNB e 2d-Sports Club;Nappon;14;8;6;57.1%;3.21;2.71;7.07;3.79;102.64;2.72;-;-;-;-;74.2%;23.2%;-;7;"[""Rek'Sai"", 'Lee Sin', 'Jarvan IV']"
CBLOL/2015_Season/Split_1;CNB e 2d-Sports Club;Wos;14;8;6;57.1%;0.86;3.21;8.86;3.02;31.64;0.84;-;-;-;-;70.1%;6.2%;-;6;['Annie', 'Janna', 'Leona']
CBLOL/2015_Season/Split_1;Dexterity Team;Anjinho;14;3;11;21.4%;0.21;4.29;6.86;1.65;17.14;0.51;-;-;-;-;73.9%;2.2%;-;6;['Soraka', 'Lulu', 'Janna']
CBLOL/2015_Season/Split_1;Dexterity Team;Piolho;14;3;11;21.4%;0.86;4.86;5.29;1.26;100.43;2.97;-;-;-;-;64.2%;9%;-;7;['Jarvan IV', 'Lee Sin', 'Sejuani']
CBLOL/2015_Season/Split_1;Dexterity Team;prZo;14;3;11;21.4%;2.5;2.5;3.93;2.57;221.71;6.57;-;-;-;-;67.2%;26.1%;-;9;['Ezreal', 'Lulu', 'Cassiopeia']
CBLOL/2015_Season/Split_1;Dexterity Team;Rellik;14;3;11;21.4%;3.64;4.5;3.5;1.59;235.64;6.98;-;-;-;-;74.6%;38.1%;-;8;['Corki', 'Tristana', 'Graves']
CBLOL/2015_Season/Split_1;Dexterity Team;7ico;12;3;9;25%;1.92;4.33;2.92;1.12;234.75;7.21;-;-;-;-;53.7%;21.3%;-;6;['Maokai', 'Renekton', 'Riven']
CBLOL/2015_Season/Split_1;Dexterity Team;Soulsilver;2;0;2;0%;5;5.5;2.5;1.36;275;6.73;-;-;-;-;57.7%;38.5%;-;1;['LeBlanc']
CBLOL/2015_Season/Split_1;INTZ;Jockster;15;13;2;86.7%;1;3.27;12.4;4.1;32.2;0.9;-;-;-;-;63%;4.7%;-;7;['Leona', 'Thresh', 'Nami']
CBLOL/2015_Season/Split_1;INTZ;micaO;15;13;2;86.7%;5.67;2;7.33;6.5;275.6;7.66;-;-;-;-;61.1%;26.6%;-;5;['Corki', 'Kalista', 'Graves']
CBLOL/2015_Season/Split_1;INTZ;Revolta;15;13;2;86.7%;3.8;2.27;11.33;6.68;116.33;3.23;-;-;-;-;71.2%;17.9%;-;6;"['Jarvan IV', 'Lee Sin', ""Rek'Sai""]"
CBLOL/2015_Season/Split_1;INTZ;tockers;15;13;2;86.7%;5.93;1.87;7.4;7.14;277.07;7.7;-;-;-;-;62.7%;27.9%;-;8;['Kassadin', 'Azir', 'Zed']
CBLOL/2015_Season/Split_1;INTZ;Yang;15;13;2;86.7%;4.87;2.33;8.67;5.8;234.8;6.53;-;-;-;-;63.6%;22.9%;-;8;['Rumble', 'Sion', 'Gnar']
CBLOL/2015_Season/Split_1;JAYOB e 2d-Sports;element;14;2;12;14.3%;2.07;3.79;3.14;1.38;233.57;6.73;-;-;-;-;58.4%;23.2%;-;6;['Rumble', 'Kassadin', 'Cassiopeia']
CBLOL/2015_Season/Split_1;JAYOB e 2d-Sports;Oxydrean;14;2;12;14.3%;1.57;4.5;3.79;1.19;91.14;2.63;-;-;-;-;60%;17.6%;-;6;"[""Rek'Sai"", 'Jarvan IV', 'Lee Sin']"
CBLOL/2015_Season/Split_1;JAYOB e 2d-Sports;yeTz;14;2;12;14.3%;3.07;3.43;2.79;1.71;256.93;7.41;-;-;-;-;65.6%;34.4%;-;11;['Jarvan IV', 'Orianna', 'Zed']
CBLOL/2015_Season/Split_1;JAYOB e 2d-Sports;Riyev;12;1;11;8.3%;0.33;3.17;5;1.68;25.33;0.73;-;-;-;-;66.7%;4.2%;-;5;['Janna', 'Thresh', 'Morgana']
CBLOL/2015_Season/Split_1;JAYOB e 2d-Sports;Theusma;8;1;7;12.5%;1.38;1.88;2.5;2.07;276;7.27;-;-;-;-;46.3%;16.4%;-;5;['Graves', 'Corki', 'Sivir']
CBLOL/2015_Season/Split_1;JAYOB e 2d-Sports;TheFoxz;6;1;5;16.7%;2.33;4.67;2.83;1.11;226.67;7.48;-;-;-;-;53.4%;24.1%;-;4;['Graves', 'Vayne', 'Kalista']
