championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
LCK/2016_Season/Spring_Season;Kwangdong Freecs;ikssu;46;24;22;52.2%;1.72;2.78;6.02;2.78;257.09;7.11;-;-;-;-;69.3%;15.4%;-;12;['Poppy', 'Maokai', 'Gragas']
LCK/2016_Season/Spring_Season;Kwangdong Freecs;LirA;46;24;22;52.2%;2.37;2.3;5.87;3.58;178.28;4.93;-;-;-;-;73.7%;21.2%;-;9;['Graves', 'Nidalee', 'Elise']
LCK/2016_Season/Spring_Season;Kwangdong Freecs;Mickey;46;24;22;52.2%;2.76;2.37;5.04;3.29;323;8.93;-;-;-;-;69.8%;24.7%;-;16;['Lulu', 'Twisted Fate', 'Corki']
LCK/2016_Season/Spring_Season;Kwangdong Freecs;Sangyoon;46;24;22;52.2%;3.72;1.59;4.63;5.26;331.26;9.16;-;-;-;-;74.7%;33.3%;-;8;['Kalista', 'Lucian', 'Sivir']
LCK/2016_Season/Spring_Season;Kwangdong Freecs;SnowFlower;46;24;22;52.2%;0.61;2.13;8.07;4.07;38.93;1.08;-;-;-;-;77.6%;5.4%;-;7;['Braum', 'Alistar', 'Trundle']
LCK/2016_Season/Spring_Season;CJ Entus;Bubbling;46;19;27;41.3%;1.3;2.67;5.35;2.49;149.3;3.68;12.9;319;-;-;67.8%;13.3%;18.5%;6;['Kindred', 'Elise', 'Graves']
LCK/2016_Season/Spring_Season;CJ Entus;Kramer;46;19;27;41.3%;3.7;1.54;3.8;4.86;390.54;9.62;17.2;424;-;-;76.5%;37.7%;24.6%;10;['Lucian', 'Kalista', 'Ezreal']
LCK/2016_Season/Spring_Season;CJ Entus;MadLife;46;19;27;41.3%;0.54;2.13;7.11;3.59;41.07;1.01;10.1;249;-;-;78%;5.5%;14.5%;5;['Alistar', 'Braum', 'Bard']
LCK/2016_Season/Spring_Season;CJ Entus;Untara;46;19;27;41.3%;1.89;2.67;5.2;2.65;299.41;7.37;14.3;352;-;-;72.3%;19.3%;20.5%;9;['Poppy', 'Maokai', 'Fiora']
LCK/2016_Season/Spring_Season;CJ Entus;Sky;24;10;14;41.7%;2.04;2.46;4.79;2.78;333.75;8.76;14.8;389;-;-;69.8%;20.9%;22.3%;8;['Viktor', 'Twisted Fate', 'Lulu']
