championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
NA_LCS/2015_Season/Spring_Season;Cloud9;Balls;19;13;6;68.4%;1.63;2.37;6.47;3.42;242.47;6.58;12.3;333;-;-;66.1%;13.3%;19.6%;8;['Maokai', 'Rumble', 'Gnar']
NA_LCS/2015_Season/Spring_Season;Cloud9;Hai;19;13;6;68.4%;2.89;2.21;5.95;4;275.95;7.49;13.4;364;-;-;72.1%;23.6%;21.5%;9;['Zed', 'Lissandra', 'LeBlanc']
NA_LCS/2015_Season/Spring_Season;Cloud9;LemonNation;19;13;6;68.4%;1.05;2;8.16;4.61;29.79;0.81;8.8;239;-;-;75.1%;8.6%;14.1%;7;['Nautilus', 'Janna', 'Morgana']
NA_LCS/2015_Season/Spring_Season;Cloud9;Meteos;19;13;6;68.4%;2;1.58;7.42;5.97;149.42;4.05;12.6;342;-;-;76.8%;16.3%;20.2%;7;"['Vi', ""Rek'Sai"", 'Nidalee']"
NA_LCS/2015_Season/Spring_Season;Cloud9;Sneaky;19;13;6;68.4%;4.68;1.32;4.74;7.16;330.42;8.96;15.4;419;-;-;76.8%;38.2%;24.7%;7;['Corki', 'Lucian', 'Graves']
NA_LCS/2015_Season/Spring_Season;Counter Logic Gaming;Aphromoo;19;12;7;63.2%;0.89;2.32;9.68;4.57;28.89;0.78;8.9;241;-;-;77.6%;6.6%;14.4%;7;['Thresh', 'Janna', 'Morgana']
NA_LCS/2015_Season/Spring_Season;Counter Logic Gaming;Doublelift;19;12;7;63.2%;3.95;1.95;5.74;4.97;346.11;9.36;15.6;422;-;-;71%;29%;25.2%;7;['Kalista', 'Jinx', 'Sivir']
NA_LCS/2015_Season/Spring_Season;Counter Logic Gaming;Link;19;12;7;63.2%;4.79;2.26;5.47;4.53;278.05;7.52;13.9;376;-;-;75.3%;35.1%;22.4%;9;['Ahri', 'Ezreal', 'Lissandra']
NA_LCS/2015_Season/Spring_Season;Counter Logic Gaming;Xmithie;19;12;7;63.2%;1.74;2.53;7.63;3.71;137;3.71;11.8;318;-;-;68.7%;12.7%;19%;7;"['Vi', 'Jarvan IV', ""Rek'Sai""]"
NA_LCS/2015_Season/Spring_Season;Counter Logic Gaming;ZionSpartan;17;11;6;64.7%;2.18;2.06;6.76;4.34;209.18;5.69;11.8;320;-;-;67.6%;16.4%;19%;9;['Sion', 'Rumble', 'Maokai']
NA_LCS/2015_Season/Spring_Season;Counter Logic Gaming;Benny;2;1;1;50%;3;3;10;4.33;200;5.2;12.3;319;-;-;76.5%;17.6%;19.4%;2;['Gnar', 'Rumble']
