championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
EU_LCS/2015_Season/Spring_Season;Copenhagen Wolves;Airwaks;18;8;10;44.4%;2.11;4.67;8.89;2.36;131.22;3.03;12.2;283;-;-;74.4%;14.3%;18.1%;10;['Jarvan IV', 'Sejuani', 'Vi']
EU_LCS/2015_Season/Spring_Season;Copenhagen Wolves;Freeze;18;8;10;44.4%;5.06;2.11;6.06;5.26;395.17;9.14;17.6;407;-;-;75.2%;34.2%;26%;6;['Graves', 'Kalista', 'Draven']
EU_LCS/2015_Season/Spring_Season;Copenhagen Wolves;Soren;18;8;10;44.4%;5;3.17;5.67;3.37;341.39;7.89;15.8;365;-;-;72.2%;33.8%;23.3%;8;['Ahri', 'Cassiopeia', 'Zed']
EU_LCS/2015_Season/Spring_Season;Copenhagen Wolves;Unlimited;18;8;10;44.4%;0.72;3.22;9.89;3.29;20.72;0.48;9.2;212;-;-;71.8%;4.9%;13.5%;7;['Annie', 'Lulu', 'Braum']
EU_LCS/2015_Season/Spring_Season;Copenhagen Wolves;YoungBuck;18;8;10;44.4%;1.89;4.44;7.22;2.05;253.44;5.86;13;300;-;-;61.7%;12.8%;19.1%;6;['Maokai', 'Kennen', 'Morgana']
EU_LCS/2015_Season/Spring_Season;Elements;Froggen;18;7;11;38.9%;4.33;2.44;5.44;4;318.67;8.01;14.6;367;-;-;78.2%;34.7%;23.5%;10;['Ahri', 'Lissandra', 'Orianna']
EU_LCS/2015_Season/Spring_Season;Elements;Rekkles;18;7;11;38.9%;4.17;1.22;4.39;7;362.17;9.1;16;403;-;-;68.4%;33.3%;25.8%;6;['Graves', 'Corki', 'Jinx']
EU_LCS/2015_Season/Spring_Season;Elements;Shook;18;7;11;38.9%;1.78;2.11;7.5;4.39;113.22;2.84;11.2;282;-;-;74.2%;14.2%;18%;8;"['Lee Sin', ""Rek'Sai"", 'Rengar']"
EU_LCS/2015_Season/Spring_Season;Elements;Wickd;14;6;8;42.9%;1.07;3.36;6.29;2.19;224.5;5.46;11.9;290;-;-;56%;8.2%;18.5%;6;['Gnar', 'Lulu', 'Rumble']
EU_LCS/2015_Season/Spring_Season;Elements;Nyph;10;4;6;40%;1.2;2.9;7.3;2.93;31.4;0.81;8.6;221;-;-;62.5%;8.8%;13.9%;6;['Leona', 'Janna', 'Annie']
EU_LCS/2015_Season/Spring_Season;Elements;Krepo;8;3;5;37.5%;0.75;2.63;7.63;3.19;25.38;0.62;8.7;212;-;-;75.3%;6.7%;13.9%;4;['Thresh', 'Morgana', 'Janna']
EU_LCS/2015_Season/Spring_Season;Elements;kev1n;4;1;3;25%;1.75;2.75;3.25;1.82;228.5;6.52;10.7;305;-;-;48.8%;17.1%;19.7%;3;['Maokai', 'Gnar', 'Lissandra']
EU_LCS/2015_Season/Spring_Season;Fnatic;Febiven;18;13;5;72.2%;5.39;1.61;7.22;7.83;295.67;7.93;14.8;398;-;-;65%;27.8%;22.6%;7;['LeBlanc', 'Zed', 'Xerath']
EU_LCS/2015_Season/Spring_Season;Fnatic;Huni;18;13;5;72.2%;3.94;3.61;10.28;3.94;224.39;6.02;13.3;357;-;-;73.4%;20.3%;20.3%;6;['Rumble', 'Lissandra', 'Gnar']
EU_LCS/2015_Season/Spring_Season;Fnatic;Reignover;18;13;5;72.2%;3.56;3.89;8.67;3.14;121.44;3.26;12.4;332;-;-;63%;18.3%;18.9%;6;"['Rengar', ""Rek'Sai"", 'Olaf']"
EU_LCS/2015_Season/Spring_Season;Fnatic;Steeelback;18;13;5;72.2%;5.28;1.5;8;8.85;303.61;8.14;15.3;409;-;-;68.5%;27.2%;23.2%;6;['Corki', 'Graves', 'Kalista']
EU_LCS/2015_Season/Spring_Season;Fnatic;YellOwStaR;18;13;5;72.2%;1.22;2.22;12.72;6.28;38.61;1.04;9.9;265;-;-;71.9%;6.3%;15%;6;['Janna', 'Annie', 'Alistar']
EU_LCS/2015_Season/Spring_Season;Gambit Gaming;Cabochard;18;10;8;55.6%;3.94;2.56;6.5;4.09;298.94;7.16;14.9;356;-;-;64.4%;24.3%;21.8%;10;['Kennen', 'Morgana', 'Irelia']
EU_LCS/2015_Season/Spring_Season;Gambit Gaming;Diamond;18;10;8;55.6%;3.06;2.83;8.72;4.16;129.78;3.11;12.8;307;-;-;72.6%;18.8%;18.8%;8;['Jarvan IV', 'Nidalee', 'Vi']
EU_LCS/2015_Season/Spring_Season;Gambit Gaming;Edward;18;10;8;55.6%;0.72;3.61;10.61;3.14;32.28;0.77;9.3;224;-;-;69.9%;4.5%;13.7%;6;['Thresh', 'Morgana', 'Lulu']
EU_LCS/2015_Season/Spring_Season;Gambit Gaming;P1noy;18;10;8;55.6%;4.67;2.22;6.39;4.97;338.5;8.11;16.2;387;-;-;68.2%;28.8%;23.6%;7;['Graves', 'Kalista', 'Tristana']
EU_LCS/2015_Season/Spring_Season;Gambit Gaming;Betsy;10;7;3;70%;4.1;2.3;6.4;4.57;320.9;8.21;14.9;382;-;-;61.8%;24.1%;22.4%;6;['Ahri', 'Ezreal', 'Zed']
EU_LCS/2015_Season/Spring_Season;Gambit Gaming;niQ;8;3;5;37.5%;3.5;3.75;5.5;2.4;320.5;7.1;15.5;344;-;-;59%;23%;21.9%;6;['Kassadin', 'Ahri', 'Lulu']
EU_LCS/2015_Season/Spring_Season;Giants Gaming;Adryh;19;6;13;31.6%;2.58;2.37;4.47;2.98;315;8.3;14;368;-;-;64.1%;23.4%;24%;7;['Sivir', 'Corki', 'Graves']
EU_LCS/2015_Season/Spring_Season;Giants Gaming;Fr3deric;19;6;13;31.6%;1.63;4.32;5.53;1.66;112.68;2.97;10.4;273;-;-;65.1%;14.8%;17.8%;6;"[""Rek'Sai"", 'Jarvan IV', 'Vi']"
EU_LCS/2015_Season/Spring_Season;Giants Gaming;PePiiNeRO;19;6;13;31.6%;3.95;2.89;3.63;2.62;320.42;8.44;14.1;371;-;-;68.9%;35.9%;24.2%;9;['Ahri', 'LeBlanc', 'Xerath']
EU_LCS/2015_Season/Spring_Season;Giants Gaming;Rydle;19;6;13;31.6%;0.63;3.95;5.37;1.52;27.68;0.73;7.9;207;-;-;54.5%;5.7%;13.5%;7;['Thresh', 'Annie', 'Morgana']
