championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
LLA/2019_Season/Opening_Season;All Knights;Newbie;21;17;4;81%;0.38;1.33;7.71;6.07;63.9;1.89;9.1;268;-;-;69.7%;3.3%;14.7%;5;['Tahm Kench', 'Braum', 'Rakan']
LLA/2019_Season/Opening_Season;All Knights;Parang;21;17;4;81%;3.19;1.9;4.24;3.9;301.38;8.9;14.2;420;-;-;63.9%;27.5%;22.9%;12;['Jayce', 'Yorick', 'Kennen']
LLA/2019_Season/Opening_Season;All Knights;Plugo;21;17;4;81%;2.71;1.43;4.62;5.13;280.81;8.29;13.1;386;-;-;63.1%;23.4%;21.1%;6;['Zoe', 'Lissandra', 'LeBlanc']
LLA/2019_Season/Opening_Season;All Knights;Zeicro;21;17;4;81%;3.48;1.48;4.05;5.1;308.62;9.12;14.6;431;-;-;64.8%;29.9%;23.5%;6;['Ezreal', 'Lucian', 'Ashe']
LLA/2019_Season/Opening_Season;All Knights;Hoglet;20;16;4;80%;1.75;2.55;5.75;2.94;174.6;5.23;11;329;-;-;65.8%;15.4%;17.9%;10;"['Olaf', ""Rek'Sai"", 'Karthus']"
LLA/2019_Season/Opening_Season;All Knights;Unforgiven;1;1;0;100%;4;3;8;4;184;4.28;12.9;300;-;-;75%;25%;16.9%;1;['Jarvan IV']
LLA/2019_Season/Opening_Season;Furious Gaming;Akunma;21;4;17;19%;1.71;2.62;3.05;1.82;282.33;7.96;13;366;-;-;52.1%;18.8%;21.4%;14;['Viktor', 'Lissandra', 'Cassiopeia']
LLA/2019_Season/Opening_Season;Furious Gaming;Aloned;21;4;17;19%;2.38;2.24;3.48;2.62;302.67;8.53;13.5;382;-;-;64.1%;26%;22.3%;12;['Viktor', 'Urgot', 'Cassiopeia']
LLA/2019_Season/Opening_Season;Furious Gaming;Gralou;21;4;17;19%;0.52;2.76;5.14;2.05;51.48;1.45;8.7;246;-;-;62%;5.7%;14.4%;7;['Braum', 'Tahm Kench', 'Thresh']
LLA/2019_Season/Opening_Season;Furious Gaming;Josedeodo;21;4;17;19%;1.43;2.38;5.1;2.74;168.76;4.76;10.7;302;-;-;71.4%;15.6%;17.7%;11;['Lee Sin', 'Olaf', 'Jarvan IV']
LLA/2019_Season/Opening_Season;Furious Gaming;Zeypher;21;4;17;19%;3.1;2.19;2.43;2.52;331.71;9.35;14.8;416;-;-;60.4%;33.9%;24.3%;11;['Ezreal', 'Lucian', 'Caitlyn']
