championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
LPL/2015_Season/Spring_Season;EDward Gaming;Deft;44;38;6;86.4%;6.34;2.43;8.64;6.16;288.89;8.48;-;-;-;-;-;-;-;11;['Corki', 'Sivir', 'Jinx']
LPL/2015_Season/Spring_Season;EDward Gaming;Koro1;44;38;6;86.4%;4;2.25;9.11;5.83;230.73;6.77;-;-;-;-;-;-;-;13;['Maokai', 'Gnar', 'Rumble']
LPL/2015_Season/Spring_Season;EDward Gaming;ClearLove;42;37;5;88.1%;3.52;1.45;11.71;10.49;106.24;3.13;-;-;-;-;-;-;-;9;"['Nunu', 'Lee Sin', ""Rek'Sai""]"
LPL/2015_Season/Spring_Season;EDward Gaming;PawN;42;37;5;88.1%;5.81;2.62;8.31;5.39;255.69;7.53;-;-;-;-;-;-;-;18;['Kassadin', 'Lulu', 'Azir']
LPL/2015_Season/Spring_Season;EDward Gaming;meiko;36;32;4;88.9%;1.47;2.64;13.53;5.68;19.64;0.58;-;-;-;-;-;-;-;8;['Annie', 'Janna', 'Thresh']
LPL/2015_Season/Spring_Season;EDward Gaming;Mouse;8;6;2;75%;2;3.25;10.25;3.77;23.5;0.67;-;-;-;-;-;-;-;5;['Annie', 'Thresh', 'Braum']
LPL/2015_Season/Spring_Season;EDward Gaming;Blackloli;2;1;1;50%;2;5.5;9;2;113.5;3.04;-;-;-;-;-;-;-;1;"[""Rek'Sai""]"
LPL/2015_Season/Spring_Season;EDward Gaming;U;2;1;1;50%;7;3;6.5;4.5;252.5;7.01;-;-;-;-;-;-;-;2;['Lissandra', 'LeBlanc']
LPL/2015_Season/Spring_Season;Energy Pacemaker;AmazingJ;44;11;33;25%;2.75;3.84;4.98;2.01;235.93;6.8;-;-;-;-;-;-;-;8;['Hecarim', 'Gnar', 'Maokai']
LPL/2015_Season/Spring_Season;Energy Pacemaker;x1u;44;11;33;25%;0.64;3.59;7.3;2.21;24.82;0.72;-;-;-;-;-;-;-;6;['Thresh', 'Janna', 'Annie']
LPL/2015_Season/Spring_Season;Energy Pacemaker;Drizzle;38;10;28;26.3%;1.58;3.53;6.03;2.16;87.13;2.51;-;-;-;-;-;-;-;8;['Lee Sin', 'Jarvan IV', 'Rengar']
LPL/2015_Season/Spring_Season;Energy Pacemaker;Raphael;38;10;28;26.3%;2.79;3;4.58;2.46;254.61;7.34;-;-;-;-;-;-;-;14;['LeBlanc', 'Lulu', 'Azir']
LPL/2015_Season/Spring_Season;Energy Pacemaker;kane;34;9;25;26.5%;3.24;3.68;4.41;2.08;300.15;8.34;-;-;-;-;-;-;-;8;['Corki', 'Graves', 'Sivir']
LPL/2015_Season/Spring_Season;Energy Pacemaker;ZangAo;10;2;8;20%;2.5;3.9;3.1;1.44;226.7;7.48;-;-;-;-;-;-;-;6;['Kalista', 'Graves', 'Draven']
LPL/2015_Season/Spring_Season;Energy Pacemaker;Captain57;6;1;5;16.7%;2;4.17;7.17;2.2;98;2.82;-;-;-;-;-;-;-;4;"['Lee Sin', 'Jarvan IV', ""Kha'Zix""]"
LPL/2015_Season/Spring_Season;Energy Pacemaker;Luo;6;1;5;16.7%;2.83;3.83;7;2.57;209.5;6.03;-;-;-;-;-;-;-;4;['Syndra', 'LeBlanc', 'Karma']
LPL/2015_Season/Spring_Season;Gamtee;LetMe;44;14;30;31.8%;2.64;3.61;6.84;2.62;231;6.02;-;-;-;-;-;-;-;13;['Maokai', 'Gnar', 'Irelia']
LPL/2015_Season/Spring_Season;Gamtee;SinkDream;44;14;30;31.8%;0.75;3.68;8.55;2.52;22.64;0.59;-;-;-;-;-;-;-;13;['Leona', 'Morgana', 'Janna']
LPL/2015_Season/Spring_Season;Gamtee;Tale;44;14;30;31.8%;4.41;3.36;5.07;2.82;300.23;7.83;-;-;-;-;-;-;-;9;['Corki', 'Tristana', 'Sivir']
LPL/2015_Season/Spring_Season;Gamtee;xiaohu;36;13;23;36.1%;4.36;3.14;6.47;3.45;302.78;7.83;-;-;-;-;-;-;-;14;['Xerath', 'Ezreal', 'LeBlanc']
LPL/2015_Season/Spring_Season;Gamtee;hu1;24;7;17;29.2%;2.42;3.83;8.29;2.79;112.71;2.95;-;-;-;-;-;-;-;6;"['Jarvan IV', ""Rek'Sai"", 'Nunu']"
LPL/2015_Season/Spring_Season;Gamtee;Danger;20;7;13;35%;1.35;3.2;7.55;2.78;98.4;2.56;-;-;-;-;-;-;-;5;['Lee Sin', 'Jarvan IV', 'Rengar']
LPL/2015_Season/Spring_Season;Gamtee;Leo;8;1;7;12.5%;3.38;3.75;2.38;1.53;270.63;7.35;-;-;-;-;-;-;-;4;['Fizz', 'LeBlanc', 'Kassadin']
LPL/2015_Season/Spring_Season;Invictus Gaming;KaKAO;44;24;20;54.5%;2.93;3.2;8.82;3.67;135.39;3.54;-;-;-;-;-;-;-;11;"['Lee Sin', 'Jarvan IV', ""Rek'Sai""]"
LPL/2015_Season/Spring_Season;Invictus Gaming;Kid;44;24;20;54.5%;4.93;2.68;6.11;4.12;305.84;8;-;-;-;-;-;-;-;11;['Kalista', 'Corki', 'Ezreal']
LPL/2015_Season/Spring_Season;Invictus Gaming;Kitties;44;24;20;54.5%;0.5;3.32;11.05;3.48;28.32;0.74;-;-;-;-;-;-;-;11;['Janna', 'Thresh', 'Morgana']
LPL/2015_Season/Spring_Season;Invictus Gaming;RooKie;41;23;18;56.1%;5.17;3.17;6.29;3.62;322.32;8.43;-;-;-;-;-;-;-;15;['Azir', 'Fizz', 'Viktor']
LPL/2015_Season/Spring_Season;Invictus Gaming;Zzitai;23;11;12;47.8%;3.3;3.91;7.87;2.86;264.57;6.93;-;-;-;-;-;-;-;14;['Gnar', 'Lulu', 'Shen']
LPL/2015_Season/Spring_Season;Invictus Gaming;Pokemon;21;13;8;61.9%;2.29;3;7.52;3.27;255;6.66;-;-;-;-;-;-;-;6;['Maokai', 'Irelia', 'Rumble']
LPL/2015_Season/Spring_Season;Invictus Gaming;Save;3;1;2;33.3%;5.67;4.33;6.33;2.77;242.33;6.29;-;-;-;-;-;-;-;2;['Gnar', 'LeBlanc']
LPL/2015_Season/Spring_Season;LGD Gaming;We1less;44;24;20;54.5%;5.86;3.5;6.75;3.6;305.43;8.2;-;-;-;-;-;-;-;19;['LeBlanc', 'Kassadin', 'Ahri']
