championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
2015_Mid-Season_Invitational/Player_Statistics;Ahq eSports Club;Albis;8;3;5;37.5%;1.5;3.5;10.88;3.54;37.75;1.09;8.3;238;-;-;70.7%;8.6%;14.1%;5;['Nautilus', 'Thresh', 'Leona']
2015_Mid-Season_Invitational/Player_Statistics;Ahq eSports Club;AN;8;3;5;37.5%;5.88;3.25;6.38;3.77;294.88;8.5;14;404;-;-;70%;33.6%;24%;5;['Sivir', 'Kalista', 'Jinx']
2015_Mid-Season_Invitational/Player_Statistics;Ahq eSports Club;Mountain;8;3;5;37.5%;2.25;4.25;10.63;3.03;120.13;3.46;11.4;328;-;-;73.6%;12.9%;19.5%;4;"[""Rek'Sai"", 'Sejuani', 'Jarvan IV']"
2015_Mid-Season_Invitational/Player_Statistics;Ahq eSports Club;westdoor;8;3;5;37.5%;4.75;3.25;7.38;3.73;276.38;7.97;13.6;393;-;-;69.3%;27.1%;23.4%;4;['Fizz', 'Twisted Fate', 'Karthus']
2015_Mid-Season_Invitational/Player_Statistics;Ahq eSports Club;Ziv;8;3;5;37.5%;3.13;3.75;9;3.23;208.75;6.02;11.4;328;-;-;69.3%;17.9%;19.5%;2;['Gnar', 'Maokai']
2015_Mid-Season_Invitational/Player_Statistics;Be c5- 9f-ikta c5- 9f- Esports;Dumbledoge;5;0;5;0%;0.4;5;1.8;0.44;10.6;0.38;5.4;196;-;-;40.7%;7.4%;14.6%;3;['Janna', 'Morgana', 'Bard']
2015_Mid-Season_Invitational/Player_Statistics;Be c5- 9f-ikta c5- 9f- Esports;Energy;5;0;5;0%;1.6;4.8;1;0.54;185.8;6.74;8.2;297;-;-;48.1%;29.6%;22.2%;2;['Lulu', 'Diana']
2015_Mid-Season_Invitational/Player_Statistics;Be c5- 9f-ikta c5- 9f- Esports;Nardeus;5;0;5;0%;1.6;4.2;1.4;0.71;214.2;7.77;8.8;319;-;-;55.6%;29.6%;23.8%;2;['Sivir', 'Lucian']
2015_Mid-Season_Invitational/Player_Statistics;Be c5- 9f-ikta c5- 9f- Esports;Thaldrin;5;0;5;0%;0.8;4.2;0.8;0.38;178.6;6.47;7.6;276;-;-;29.6%;14.8%;20.6%;4;['Gnar', 'Rumble', 'Vladimir']
2015_Mid-Season_Invitational/Player_Statistics;Be c5- 9f-ikta c5- 9f- Esports;Theokoles;5;0;5;0%;1;3.8;2.8;1;84.8;3.07;7.2;261;-;-;70.4%;18.5%;19.5%;3;"['Sejuani', ""Rek'Sai"", 'Gragas']"
2015_Mid-Season_Invitational/Player_Statistics;EDward Gaming;Clearlove;13;10;3;76.9%;3.92;1.62;12.15;9.95;104;3.14;11.2;339;-;-;70.4%;17.2%;18.8%;6;['Sejuani', 'Gragas', 'Nunu']
2015_Mid-Season_Invitational/Player_Statistics;EDward Gaming;Deft;13;10;3;76.9%;6.69;3.08;9.85;5.38;260.92;7.87;13.9;420;-;-;72.4%;29.3%;23.4%;6;['Urgot', 'Kalista', 'Jinx']
2015_Mid-Season_Invitational/Player_Statistics;EDward Gaming;Koro1;13;10;3;76.9%;5.15;2.46;10.69;6.44;217.85;6.57;12.6;381;-;-;69.4%;22.6%;21.2%;5;['Maokai', 'Gnar', 'Hecarim']
2015_Mid-Season_Invitational/Player_Statistics;EDward Gaming;Meiko;13;10;3;76.9%;1.69;2.77;15.15;6.08;31.77;0.96;8.9;269;-;-;73.7%;7.4%;15%;3;['Thresh', 'Annie', 'Alistar']
2015_Mid-Season_Invitational/Player_Statistics;EDward Gaming;PawN;13;10;3;76.9%;5.38;2.38;8.69;5.9;256;7.73;13.3;402;-;-;61.6%;23.6%;22.3%;8;['Cassiopeia', 'Azir', 'Twisted Fate']
2015_Mid-Season_Invitational/Player_Statistics;Fnatic;Febiven;10;4;6;40%;4.1;2.2;4.8;4.05;265.1;7.64;12.7;366;-;-;55.3%;25.5%;22.4%;4;['LeBlanc', 'Cassiopeia', 'Zed']
2015_Mid-Season_Invitational/Player_Statistics;Fnatic;Huni;10;4;6;40%;3.5;4.3;6.9;2.42;241;6.94;12;346;-;-;64.6%;21.7%;21.2%;4;['Rumble', 'Hecarim', 'Cassiopeia']
2015_Mid-Season_Invitational/Player_Statistics;Fnatic;Reignover;10;4;6;40%;3.5;4;6.7;2.55;128.4;3.7;11.3;326;-;-;63.4%;21.7%;20%;3;"['Gragas', ""Rek'Sai"", 'Sejuani']"
2015_Mid-Season_Invitational/Player_Statistics;Fnatic;Steeelback;10;4;6;40%;4;2.7;5.6;3.56;261.1;7.52;12.6;363;-;-;59.6%;24.8%;22.2%;4;['Sivir', 'Urgot', 'Lucian']
2015_Mid-Season_Invitational/Player_Statistics;Fnatic;YellOwStaR;10;4;6;40%;1;2.8;8.8;3.5;41.7;1.2;8;231;-;-;60.9%;6.2%;14.1%;5;['Nautilus', 'Annie', 'Leona']
2015_Mid-Season_Invitational/Player_Statistics;SK Telecom T1;Bang;15;10;5;66.7%;4.6;3;5.6;3.4;276.8;7.76;13.8;387;-;-;64.3%;29%;23.1%;6;['Urgot', 'Sivir', 'Lucian']
2015_Mid-Season_Invitational/Player_Statistics;SK Telecom T1;Bengi;15;10;5;66.7%;2.27;3.4;9.2;3.37;110;3.08;10.9;307;-;-;72.3%;14.3%;18.3%;4;"[""Rek'Sai"", 'Nunu', 'Gragas']"
2015_Mid-Season_Invitational/Player_Statistics;SK Telecom T1;MaRin;15;10;5;66.7%;3.73;3.6;6.13;2.74;252.87;7.09;12.7;355;-;-;62.2%;23.5%;21.2%;3;['Rumble', 'Gnar', 'Maokai']
2015_Mid-Season_Invitational/Player_Statistics;SK Telecom T1;Wolf;15;10;5;66.7%;0.8;3.87;9.47;2.66;37.67;1.06;8.4;236;-;-;64.7%;5%;14.1%;5;['Alistar', 'Thresh', 'Annie']
2015_Mid-Season_Invitational/Player_Statistics;SK Telecom T1;Faker;10;7;3;70%;4.4;2;6.8;5.6;304.8;8.54;14.1;395;-;-;66.3%;26%;23.3%;7;['Azir', 'Cassiopeia', 'Ahri']
2015_Mid-Season_Invitational/Player_Statistics;SK Telecom T1;Easyhoon;5;3;2;60%;4.6;2.2;5.4;4.55;327.8;9.22;14.4;405;-;-;72.5%;33.3%;24.9%;5;['Vladimir', 'Orianna', 'Cassiopeia']
2015_Mid-Season_Invitational/Player_Statistics;TSM;Bjergsen;5;1;4;20%;2.4;4.8;1.6;0.83;219.4;7.61;9.6;333;-;-;57.1%;34.3%;22.6%;3;"[""Cho'Gath"", 'Ziggs', 'Urgot']"
2015_Mid-Season_Invitational/Player_Statistics;TSM;Dyrus;5;1;4;20%;1.2;4.6;2.6;0.83;187;6.49;8.8;305;-;-;54.3%;17.1%;20.7%;4;['Hecarim', 'Gnar', 'Maokai']
2015_Mid-Season_Invitational/Player_Statistics;TSM;Lustboy;5;1;4;20%;0.4;3.4;4.8;1.53;20.8;0.72;5.8;201;-;-;74.3%;5.7%;13.6%;2;['Thresh', 'Bard']
2015_Mid-Season_Invitational/Player_Statistics;TSM;Santorin;5;1;4;20%;1.4;1.8;3.4;2.67;106.6;3.7;8.2;285;-;-;68.6%;20%;19.3%;3;"['Gragas', 'Sejuani', ""Rek'Sai""]"
2015_Mid-Season_Invitational/Player_Statistics;TSM;WildTurtle;5;1;4;20%;1.6;3.6;4.2;1.61;237.6;8.24;10.2;354;-;-;82.9%;22.9%;24%;3;['Sivir', 'Kalista', 'Corki']
2016_Mid-Season_Invitational/Player_Statistics;Counter Logic Gaming;aphromoo;17;10;7;58.8%;0.47;3.24;10.12;3.27;22.47;0.63;9.5;266;-;-;78.3%;3.5%;14.8%;7;['Soraka', 'Braum', 'Bard']
2016_Mid-Season_Invitational/Player_Statistics;Counter Logic Gaming;Darshan;17;10;7;58.8%;2.35;2.41;5.71;3.34;228.18;6.37;12.6;352;-;-;59.6%;17.4%;19.6%;3;['Poppy', 'Ekko', 'Maokai']
