championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
PCS/2020_Season/Spring_Season;Ahq eSports Club;Kongyue;18;14;4;77.8%;3.17;1.72;6.5;5.61;187;5.84;11.2;350;-;-;68%;22.3%;19.7%;7;"['Olaf', ""Rek'Sai"", 'Sejuani']"
PCS/2020_Season/Spring_Season;Ahq eSports Club;Uniboy;18;14;4;77.8%;4.11;1;6.67;10.78;264.44;8.26;12.8;398;-;-;75.8%;28.9%;22.4%;7;['Zoe', 'Syndra', 'Rumble']
PCS/2020_Season/Spring_Season;Ahq eSports Club;Wako;18;14;4;77.8%;4.56;1.44;5.78;7.15;298.11;9.31;14.2;442;-;-;72.7%;32%;24.9%;7;['Miss Fortune', 'Ezreal', 'Varus']
PCS/2020_Season/Spring_Season;Ahq eSports Club;Ysera;18;14;4;77.8%;0.39;1.89;8.89;4.91;42.33;1.32;7.5;235;-;-;65.2%;2.7%;13.2%;7;['Thresh', 'Tahm Kench', 'Nautilus']
PCS/2020_Season/Spring_Season;Ahq eSports Club;Ziv;18;14;4;77.8%;2;2;5.83;3.92;228.56;7.13;11.3;351;-;-;55.1%;14.1%;19.8%;7;['Renekton', 'Sett', 'Aatrox']
PCS/2020_Season/Spring_Season;Alpha Esports;Atlen;18;8;10;44.4%;2.33;2.44;6.39;3.57;319.83;9.33;14.2;413;-;-;62.1%;16.6%;23.8%;6;['Miss Fortune', 'Jinx', 'Aphelios']
PCS/2020_Season/Spring_Season;Alpha Esports;Catjug;18;8;10;44.4%;4.33;3.11;5.11;3.04;226.28;6.6;12.7;369;-;-;67.2%;30.8%;21.3%;6;"['Lee Sin', ""Rek'Sai"", 'Ekko']"
PCS/2020_Season/Spring_Season;Alpha Esports;Kino;18;8;10;44.4%;0.61;3.11;7.94;2.75;34.61;1.01;7.6;221;-;-;60.9%;4.3%;12.8%;5;['Tahm Kench', 'Braum', 'Nautilus']
PCS/2020_Season/Spring_Season;Alpha Esports;Rock;18;8;10;44.4%;3.33;3.11;5.22;2.75;228.67;6.67;12;349;-;-;60.9%;23.7%;20.1%;6;['Aatrox', 'Sett', 'Renekton']
PCS/2020_Season/Spring_Season;Alpha Esports;Assassin;18;8;10;44.4%;3.44;3;4.67;2.7;275.06;8.02;13.1;382;-;-;57.7%;24.5%;22%;8;['LeBlanc', 'Orianna', 'Kassadin']
PCS/2020_Season/Spring_Season;Berjaya Dragons;Azhi;18;10;8;55.6%;3.89;1.94;4.72;4.43;266.22;7.79;13.3;388;-;-;61.5%;27.8%;22.4%;7;['Mordekaiser', 'Sett', 'Renekton']
PCS/2020_Season/Spring_Season;Berjaya Dragons;Enso;18;10;8;55.6%;1.72;2.61;7.22;3.43;161.72;4.73;10.1;297;-;-;63.9%;12.3%;17.1%;4;"[""Rek'Sai"", 'Gragas', 'Jarvan IV']"
PCS/2020_Season/Spring_Season;Berjaya Dragons;K2;18;10;8;55.6%;3.89;2.28;5.17;3.98;341;9.98;15.1;442;-;-;64.7%;27.8%;25.6%;5;['Ezreal', 'Miss Fortune', 'Varus']
PCS/2020_Season/Spring_Season;Berjaya Dragons;Chilly;17;10;7;58.8%;0.41;2.88;8.35;3.04;32.35;0.94;7.6;221;-;-;60.6%;2.8%;12.7%;6;['Nautilus', 'Tahm Kench', 'Morgana']
PCS/2020_Season/Spring_Season;Berjaya Dragons;Minji;11;6;5;54.5%;3.27;3;4.36;2.55;263.18;7.82;12.5;372;-;-;57.1%;24.5%;21.5%;6;['Zoe', 'Ekko', 'Syndra']
PCS/2020_Season/Spring_Season;Berjaya Dragons;Maoan;7;4;3;57.1%;5.43;2.71;4.57;3.68;273.14;7.81;14;400;-;-;66.7%;36.2%;23.1%;7;['Corki', 'Aatrox', 'Renekton']
PCS/2020_Season/Spring_Season;Berjaya Dragons;Pocky;1;0;1;0%;0;5;5;1;34;1.18;5.7;198;-;-;83.3%;0%;13.1%;1;['Leona']
PCS/2020_Season/Spring_Season;Hong Kong Attitude;3z;20;7;13;35%;1.6;3.65;3.45;1.38;268.1;7.86;12.4;363;-;-;54%;17.1%;21.9%;10;['Gangplank', 'Ornn', 'Sett']
PCS/2020_Season/Spring_Season;Hong Kong Attitude;MnM;20;7;13;35%;3.25;1.95;3.45;3.44;332.4;9.74;14.5;425;-;-;71.7%;34.8%;25.7%;9;['Miss Fortune', 'Ezreal', 'Aphelios']
PCS/2020_Season/Spring_Season;Hong Kong Attitude;Wing;20;7;13;35%;0.6;3.55;5.5;1.72;35.95;1.05;7.5;218;-;-;65.2%;6.4%;13.2%;10;['Braum', 'Nautilus', 'Thresh']
PCS/2020_Season/Spring_Season;Hong Kong Attitude;Holo;19;7;12;36.8%;1.68;2.58;5.26;2.69;157.47;4.55;9.9;287;-;-;72.9%;17.7%;17.3%;7;"['Trundle', 'Sejuani', ""Rek'Sai""]"
PCS/2020_Season/Spring_Season;Hong Kong Attitude;JimieN;15;7;8;46.7%;2.67;2.27;4.07;2.97;276.73;7.93;13;371;-;-;63.5%;25.2%;22.1%;10;['Sylas', 'Zoe', 'Sett']
PCS/2020_Season/Spring_Season;Hong Kong Attitude;Chase;5;0;5;0%;1.2;2;2;1.6;242.2;7.6;10.6;332;-;-;57.1%;21.4%;20.9%;4;['Zoe', 'Sylas', 'Rumble']
PCS/2020_Season/Spring_Season;Hong Kong Attitude;Kabuu;1;0;1;0%;0;5;5;1;134;5.38;7.1;286;-;-;83.3%;0%;18.7%;1;['Jarvan IV']
PCS/2020_Season/Spring_Season;J Team;Lilv;19;7;12;36.8%;3.26;1.84;4.53;4.23;297.21;9.31;13.5;424;-;-;70.1%;29.4%;25.1%;10;['Ezreal', 'Senna', 'Miss Fortune']
PCS/2020_Season/Spring_Season;J Team;Rest;19;7;12;36.8%;2.53;2.68;4.26;2.53;244.74;7.66;11.8;369;-;-;61.1%;22.7%;21.8%;10;['Renekton', 'Sett', 'Aatrox']
PCS/2020_Season/Spring_Season;J Team;Nestea;18;7;11;38.9%;2.11;3.17;4.89;2.21;211.83;6.56;10.6;329;-;-;60.3%;18.2%;19.3%;12;['Sylas', 'Ornn', 'Pantheon']
PCS/2020_Season/Spring_Season;J Team;Woody;18;6;12;33.3%;0.78;2.44;6.89;3.14;68.56;2.15;7.8;246;-;-;70.4%;7.1%;14.6%;10;['Tahm Kench', 'Thresh', 'Nautilus']
PCS/2020_Season/Spring_Season;J Team;Hana;17;7;10;41.2%;2.29;2.71;5.59;2.91;170.35;5.29;10.2;317;-;-;68%;19.8%;18.6%;8;"['Sejuani', 'Gragas', ""Rek'Sai""]"
