championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
VCS/2018_Season/Spring_Season;Cherry Esports;Artifact;34;17;17;50%;4.44;2.74;4.29;3.19;330.53;9.95;14.6;439;-;-;65.9%;33.5%;23.7%;11;['Azir', 'Ryze', 'Vladimir']
VCS/2018_Season/Spring_Season;Cherry Esports;Clear;34;17;17;50%;3.62;2.29;4.68;3.62;322.29;9.7;14.4;435;-;-;62.5%;27.3%;23.4%;8;"['Caitlyn', 'Ezreal', ""Kog'Maw""]"
VCS/2018_Season/Spring_Season;Cherry Esports;Kidz;34;17;17;50%;0.79;2.97;7.71;2.86;58.18;1.75;9.1;273;-;-;64.1%;6%;14.7%;10;['Braum', 'Tahm Kench', 'Janna']
VCS/2018_Season/Spring_Season;Cherry Esports;Potm;34;17;17;50%;2.41;2.85;6.74;3.21;161.68;4.87;11.1;334;-;-;69%;18.2%;18%;9;"[""Kha'Zix"", 'Sejuani', 'Lee Sin']"
VCS/2018_Season/Spring_Season;Cherry Esports;Boong;13;5;8;38.5%;2.38;2.85;5.15;2.65;268.85;7.85;12.6;368;-;-;55.7%;17.6%;19.6%;8;['Ornn', 'Gnar', 'Rumble']
VCS/2018_Season/Spring_Season;Cherry Esports;Rika;11;7;4;63.6%;2.45;2.45;5.09;3.07;283.55;7.92;13.8;386;-;-;50.6%;16.5%;20.6%;8;['Ornn', 'Gnar', 'Camille']
VCS/2018_Season/Spring_Season;Cherry Esports;Ikaros;9;5;4;55.6%;1;3.33;5.11;1.83;233.89;8.04;11;379;-;-;52.4%;8.6%;20.8%;6;['Sion', 'Gangplank', 'Illaoi']
VCS/2018_Season/Spring_Season;Cherry Esports;BaRoiBeo;1;0;1;0%;1;4;1;0.5;169;5.95;8.1;284;-;-;33.3%;16.7%;18.5%;1;['Shen']
VCS/2018_Season/Spring_Season;EVOS Esports;RonOP;33;26;7;78.8%;0.82;2.18;8.82;4.42;60.85;1.87;-;-;-;-;65.6%;5.6%;-;11;['Taric', 'Braum', 'Alistar']
VCS/2018_Season/Spring_Season;EVOS Esports;Slay;33;26;7;78.8%;3.88;1.76;5.27;5.21;320.39;9.86;-;-;-;-;62.3%;26.4%;-;7;"['Ezreal', 'Kalista', ""Kog'Maw""]"
VCS/2018_Season/Spring_Season;EVOS Esports;Stark;33;26;7;78.8%;2.88;2.55;6.03;3.5;295.21;9.08;-;-;-;-;60.6%;19.6%;-;9;"['Gnar', 'Camille', ""Cho'Gath""]"
VCS/2018_Season/Spring_Season;EVOS Esports;Warzone;33;26;7;78.8%;3.91;1.39;5.06;6.43;323.18;9.94;-;-;-;-;61%;26.6%;-;11;['Azir', 'Ryze', 'Zoe']
VCS/2018_Season/Spring_Season;EVOS Esports;YiJin;33;26;7;78.8%;3.21;2.12;7.12;4.87;211.82;6.52;-;-;-;-;70.3%;21.9%;-;12;"['Sejuani', ""Kha'Zix"", 'Jarvan IV']"
VCS/2018_Season/Spring_Season;Friends Forever Gaming;Celebrity;35;13;22;37.1%;4.63;2.6;3.11;2.98;313.06;10.19;13.9;453;-;-;70.4%;42.1%;25.4%;8;['Tristana', 'Ezreal', 'Varus']
VCS/2018_Season/Spring_Season;Friends Forever Gaming;KingJ;34;13;21;38.2%;1.94;2.53;4.47;2.53;237.79;7.82;11.1;367;-;-;58.8%;17.8%;20.6%;11;['Ornn', 'Sion', 'Fiora']
VCS/2018_Season/Spring_Season;Friends Forever Gaming;Sergh;34;12;22;35.3%;0.53;3.26;6.59;2.18;53.65;1.74;8;259;-;-;65.1%;4.8%;14.6%;10;['Braum', 'Shen', 'Tahm Kench']
